1-AMINO-PROPAN-2-OL	(<i>R</i>)-1-aminopropan-2-ol
CPD-10269	palmitoleoyl-CoA
CPD-10290	gramicidin S
CPD-10313	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-glucuronate
CPD-10314	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate
CPD-10324	amiloride
CPD-10336	chlorophyll <i>c</i><sub>1</sub>
CPD-10337	chlorophyll <i>c</i><sub>2</sub>
CPD-10353	(R)-acetoin
CPD-10419	3-sulfomuconate
CPD-10420	4-sulfomuconolactone
CPD-10437	dimethyl sulfone
CPD-10473	dimethylsulfoniopropioyl-CoA
CPD-10483	<i>N</i>-succinyl-L-citrulline
CPD-10484	dehypoxanthine futalosine
CPD-105	(R)-4-hydroxymandelate
CPD-10505	(25<i>S</i>)-3&alpha;,7&alpha;,12&alpha;-trihydroxy-5&beta;-cholestanoyl-CoA
CPD-10534	ursodeoxycholate
CPD-10551	(4S)-4-hydroxy-5-phosphooxypentane-2,3-dione
CPD-10556	chenodeoxycholoyl-CoA
CPD-10576	4-chlorosalicylate
CPD-10588	(25<i>S</i>)-3&alpha;,7&alpha;-dihydroxy-5&beta;-cholestanoyl-CoA
CPD-10591	3&alpha;,7&alpha;-dihydroxy-24-oxo-5&beta;-cholestanoyl CoA
CPD-10597	S-1-(4-hydroxyphenyl)-ethanol
CPD-10598	4-hydroxyacetophenone
CPD-10599	4-hydroxybenzoyl-acetate
CPD-106	(<i>S</i>)-4-hydroxymandelate
CPD-10600	3-(4-hydroxyphenyl)-3-oxo-propanoyl-CoA
CPD-10608	<i>trans</i>-dienelactone
CPD-10609	(1R,2R)-3-chlorocyclohexa-3,5-diene-1,2-diol
CPD-10614	4-chloro-2-methylphenoxyacetate
CPD-10615	2-methyl-4-chlorophenol
CPD-10616	5-chloro-3-methylcatechol
CPD-10622	3,4,6-trichlorocatechol
CPD-10623	(1R,2S)-3,4,6-trichlorocyclohexa-3,5-diene-1,2-diol
CPD-10624	(1R,2S)-3,4-dichlorocyclohexa-3,5-diene-1,2-diol
CPD-10626	4,5-dichlorobenzene-1,2-diol
CPD-1063	5-(methylsulfanyl)-ribulose 1-phosphate
CPD-10631	2,3-dichloro-cis,cis-muconate
CPD-10632	2,4-dichloro-cis,cis-muconate
CPD-10633	5-chloro-<i>trans</i>-dienelactone
CPD-10634	5-chloromaleylacetate
CPD-10635	2,3,5-trichloro-cis,cis-muconate
CPD-10636	2,5-dichloro-<i>trans</i>-dienelactone
CPD-10637	2,5-dichloromaleylacetate
CPD-10640	protoanemonin
CPD-10642	dammara-20,24-dien
CPD-10646	4-chloro-2-methyl-<i>cis,cis</i>-muconate
CPD-10654	3-chlorotoluene
CPD-10656	3-methyl-<i>cis,cis</i>-muconate
CPD-10659	3-chlorobenzyl alcohol
CPD-10663	5-chlorosalicylate
CPD-10664	5-methylsalicylate
CPD-1067	(3S,5S)-3,5-diaminohexanoate
CPD-10679	flaviolin
CPD-10680	3,3'-biflaviolin
CPD-10681	3,8'-biflaviolin
CPD-10683	mannosylfructose-phosphate
CPD-10684	mannosylfructose
CPD-107	6-hydroxypseudooxynicotine
CPD-1070	3-maleylpyruvate
CPD-10735	3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate 9-phosphate
CPD-10737	CMP-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-non-2-ulopyranosonate
CPD-10740	unsaturated CDP-archaeol
CPD-10741	unsaturated archaetidylserine
CPD-10750	UDP-2-acetamido-2,6-dideoxy-&beta;-L-<i>arabino</i>-hex-4-ulose
CPD-10751	UDP-4-amino-4,6-dideoxy-<i>N</i>-acetyl-&beta;-L-altrosamine
CPD-10752	UDP-2,4-diacetamido-2,4,6-trideoxy-&beta;-L-altropyranose
CPD-10753	2,4-diacetamido-2,4,6-trideoxy-&beta;-L-altropyranose
CPD-10754	pseudaminate
CPD-10755	CMP-pseudaminate
CPD-10766	7,8-dihydropterin-6-ylmethyl-4-(&beta;-D-ribofuranosyl)aminobenzene 5'-phosphate
CPD-10774	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
CPD-1078	CDP-4-dehydro-3,6-dideoxy-&alpha;-D-glucose
CPD-10780	VAI-1
CPD-10781	HAI-1
CPD-10782	AAI-1
CPD-10783	PAI-1
CPD-10784	PAI-1-2
CPD-10785	VAI-1-2
CPD-10786	CAI-1
CPD-10789	7,8-dihydromethanopterin
CPD-10792	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate
CPD-10796	2,3-dihydroxy-<i>trans</i>-cinnamate
CPD-10797	3-hydroxycinnamate
CPD-108	4-methylphenol
CPD-10801	<i>N</i>-(3-hydroxybutanoyl)-L-homoserine
CPD-10802	<i>N</i>-(3-oxododecanoyl)-L-homoserine
CPD-10803	<i>N</i>-(butyryl)-L-homoserine
CPD-10804	<i>N</i>-(3-oxohexanoyl)-L-homoserine
CPD-10805	<i>N</i>-(octanoyl)-L-homoserine
CPD-10809	2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one
CPD-10818	isopentenyl phosphate
CPD-10821	5-chlorocarbonyl-4-hydroxy-penta-2,4-dienate
CPD-10823	4-methylmuconolactone
CPD-1086	5-amino-6-(5-phospho-D-ribitylamino)uracil
CPD-10862	3-chloro-4-hydroxyphenylacetate
CPD-10864	2,3-dichlorophenol
CPD-10865	2,6-dichlorophenol
CPD-10866	2-chlorophenol
CPD-10868	3-chlorophenol
CPD-10870	4-chlorophenol
CPD-1091	(<i>S</i>)-ureidoglycolate
CPD-1092	styrene
CPD-1099	raffinose
CPD-110	salicylate
CPD-11020	5-chloro-4-hydroxy-2-oxopentanoate
CPD-1106	(2-aminoethyl)phosphonate
CPD-1107	D-<i>myo</i>-inositol 1,3,4,5,6-pentakisphosphate
CPD-111	3-methylcatechol
CPD-1111	CDP-ribitol
CPD-1112	4-pyridoxate
CPD-1114	D-arabinonate
CPD-1121	D-myo-inositol 1,2-cyclic phosphate
CPD-11220	5-chlorobenzoate-<i>cis</i>-3,4-diol
CPD-11222	5-chloroprotocatechuate
CPD-11241	4-(4-deoxy-&alpha;-D-galact-4-enuronosyl)-D-galacturonate
CPD-11253	<i>trans</i>-tuberonic acid
CPD-11260	<i>cis</i>-tuberonic acid
CPD-11281	<i>S</i>-sulfanylglutathione
CPD-1133	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione
CPD-1134	2-dehydro-3-deoxy-L-arabinonate
CPD-1136	<i>cis</i>-2-methylaconitate
CPD-11419	cyclic dehypoxanthine futalosine
CPD-11420	1,4-dihydroxy-6-naphthoate
CPD-11426	aphidicolin
CPD-11445	BM15766
CPD-11446	1'-hydroxy-&gamma;-carotene
CPD-11447	rhodopin
CPD-11448	plectaniaxanthin
CPD-11449	myxol
CPD-11450	myxol-2' fucoside
CPD-11456	&beta;,&chi;-carotene
CPD-11457	renierapurpurin
CPD-11459	18-hydroxyrenierapurpurin
CPD-11460	&chi;,&chi;-caroten-18-oate
CPD-11461	18'-hydroxy-&chi;,&chi;-caroten-18-oate
CPD-11463	1-hydroxyneurosporene
CPD-11464	demethylspheroidene
CPD-11465	demethylspheroidenone
CPD-11466	spheroiden-2-one
CPD-11468	spheroidene
CPD-11469	methoxyneurosporene
CPD-11470	zeaxanthin-&beta;-D-glucoside
CPD-11471	zeaxanthin bis(&beta;-D-glucoside)
CPD-11477	<i>N</i><sup>1</sup>-(3,4-dihydroxybenzoyl)-<i>N</i><sup>8</sup>-citryl-spermidine
CPD-11479	<i>N</i>-citryl-spermidine
CPD-11480	<i>N</i><sup>8</sup>,<i>N</i>'<sup>8</sup>-citryl-bis(spermidine)
CPD-11481	<i>N</i><sup>1</sup>-(3,4-dihydroxybenzoyl)-<i>N</i><sup>8</sup>,<i>N</i>'<sup>8</sup>-citryl-bis(spermidine)
CPD-11520	3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxooctanoyl)-CoA
CPD-11521	3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-hexanoyl-CoA
CPD-11524	3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxohexanoyl)-CoA
CPD-11525	3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-butanoyl-CoA
CPD-11528	3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxobutanoyl)-CoA
CPD-11529	(+)-7-<i>epi</i>-jasmonoyl-CoA
CPD-11533	tetrahymanol
CPD-11569	(3-nitrobenzoyl)alanine
CPD-11571	<i>N</i><sup>5</sup>-hydroxy-L-ornithine
CPD-11572	5-hydroxymethylfurfural
CPD-11573	2,5-bis-hydroxymethylfuran
CPD-11592	2-methylsulfanyl-<i>N</i><sup>6</sup>-dimethylallyladenosine<sup>37</sup> in tRNA
CPD-11607	&beta;-D-galactosyl-(1->4)-L-rhamnose
CPD-1162	arbutin-6-phosphate
CPD-11621	L-proline amide
CPD-11622	(<i>R</i>)-piperazine-2-carboxylate
CPD-11625	(<i>R</i>)-piperazine-2-carboxamide
CPD-11653	7-O-[2-aminoethoxy(hydroxy)phosphoryl]-&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A
CPD-11678	hemin
CPD-11729	hydroxymethylphosphonate
CPD-11735	phosphonoformate
CPD-11736	phosphonoformaldehyde
CPD-11737	CMP-5'-phosphonoformate
CPD-11738	2-phosphono-formylglycerate
CPD-11740	carboxyphosphinopyruvate
CPD-11742	2-(phosphonoylmethyl)malate
CPD-11744	3-(hydroxyphosphonoylmethyl)malate
CPD-11746	<i>N</i>-acetyldemethyl-L-phosphinothricin
CPD-11747	<i>N</i>-acetyldemethylphosphinothricin tripeptide
CPD-11748	<i>N</i>-acetylphosphinothricin tripeptide
CPD-11749	phosalacine
CPD-11751	7-chloro-L-tryptophan
CPD-11754	dichlorochromopyrrolate
CPD-11755	dichloro-arcyriaflavin A
CPD-11756	4'-<i>O</i>-demethylrebeccamycin
CPD-11770	7,8-dihydromonapterin
CPD-11786	chromopyrrolate
CPD-11789	K-252c
CPD-11791	J-104303
CPD-11792	J-109384
CPD-1181	salicin 6-phosphate
CPD-11853	5-carboxyvanillate
CPD-11859	5,5'-dehydrodivanillate
CPD-11860	2,2',3-trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl
CPD-11861	OH-DDVA <i>meta</i>-cleavage product
CPD-11863	4-carboxy-2-hydroxypenta-2,4-dienoate
CPD-11866	(2<i>S</i>)-2-(glutathion-<i>S</i>-yl)-3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-1-one
CPD-11867	(-)-(&alpha;<i>S</i>,&beta;<i>R</i>)-guaiacylglycerol-&beta;-guaiacyl ether
CPD-11868	(+)-(&alpha;<i>R</i>,&beta;<i>S</i>)-guaiacylglycerol-&beta;-guaiacyl ether
CPD-11869	(-)-(&alpha;<i>R</i>,&beta;<i>R</i>)-guaiacylglycerol-&beta;-guaiacyl ether
CPD-11870	(+)-(&alpha;<i>S</i>,&beta;<i>S</i>)-guaiacylglycerol-&beta;-guaiacyl ether
CPD-11871	(2<i>S</i>)-3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)propan-1-one
CPD-11872	(2<i>R</i>)-3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)propan-1-one
CPD-11873	3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-1-one
CPD-11876	3-methoxy-4-hydroxyphenylglycolaldehyde
CPD-11879	3,4-dihydroxymandelate
CPD-11880	(2<i>R</i>)-2-(glutathion-<i>S</i>-yl)-3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-1-one
CPD-11881	4-hydroxy-3-methoxyphenyl-&beta;-hydroxypropanoyl-CoA
CPD-11890	2-imino-3-(indol-3-yl)propanoate
CPD-11905	3'-<i>O</i>-demethyl-4'-<i>N</i>-demethyl-staurosporine
CPD-11906	holyrine A
CPD-11909	dTDP-L-ristosamine
CPD-11910	holyrine B
CPD-11915	dTDP-L-olivose
CPD-11916	dTDP-&alpha;-D-olivose
CPD-11917	unsaturated archaetidylinositol phosphate
CPD-11919	unsaturated archaetidylethanolamine
CPD-11920	unsaturated archaetidylglycerol
CPD-11950	norspermidine-2,3-dihydroxybenzoate
CPD-11953	<i>N</i>-hydroxycadaverine
CPD-11955	<i>N</i>-hydroxy-<i>N</i>-succinylcadaverine
CPD-11963	<i>N</i>-hydroxyputrescine
CPD-11964	<i>N</i>-hydroxy-<i>N</i>-succinyl-putrescine
CPD-11968	alcaligin
CPD-11971	3-[4-amino-3-hydroxybutyl]-hydroxy-carbamoyl-propanoate
CPD-11972	pre-alcaligin
CPD-11984	mono-<i>trans</i>,octa-<i>cis</i>-decaprenyl diphosphate
CPD-11994	<i>trans,octacis</i>-decaprenyl phosphate
CPD-11997	decaprenyl-diphospho-<i>N</i>-acetylmuramoyl-pentapeptide
CPD-11998	decaprenyl-pyrophosphoryl-(<i>N</i>-acetylglucosamine)-<i>N</i>-acetylmuramyl-(pentapeptide)
CPD-11999	a peptidoglycan with L,D cross-links  (mycobacteria)
CPD-12000	a peptidoglycan with D,D cross-links  (mycobacteria)
CPD-12004	(R,S)-2,3-butanediol
CPD-12024	Se-methyl-L-selenocysteine
CPD-12028	&alpha;-L-rhamnopyranosyl-(1&rarr;3)-N-acetyl-&alpha;-D-glucosaminyl-diphospho-trans,octacis-decaprenol
CPD-12029	&beta;-D-galactofuranosyl-(1&rarr;4)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-N-acetyl-&alpha;-D-glucosaminyl-diphospho-trans,octacis-decaprenol
CPD-12030	&beta;-D-galactofuranosyl-(1&rarr;5)-&beta;-D-galactofuranosyl-(1&rarr;4)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-N-acetyl-&alpha;-D-glucosaminyl-diphospho-trans,octacis-decaprenol
CPD-12039	<i>trans,octacis</i>-decaprenylphospho-&beta;-D-ribofuranose 5-phosphate
CPD-12040	<i>trans,octacis</i>-decaprenylphospho-&beta;-D-ribofuranose
CPD-12041	<i>trans,octacis</i>-decaprenylphospho-&beta;-D-<i>erythro</i>-pentofuranosid-2-ulose
CPD-12045	&alpha;-L-arabinofuranose
CPD-12046	&beta;-L-arabinofuranose
CPD-12050	[&beta;-D-galactofuranosyl-(1&rarr;5)-&beta;-D-galactofuranosyl-(1&rarr;6)]<sub>14</sub>-&beta;-D-galactofuranosyl-(1&rarr;5)-&beta;-D-galactofuranosyl-(1&rarr;4)--L-rhamnopyranosyl-(1&rarr;3)-N-acetyl-&alpha;-D-glucosaminyl-diphospho-trans,octacis-decaprenol
CPD-12051	mycobacterial arabinogalactan containing &alpha;(1->3) arabinofuran linkages
CPD-12054	mycobacterial arabinogalactan containing linear arabinofuran
CPD-12060	mycobacterial arabinogalactan primed with arabinofuran
CPD-12061	mycobacterial arabinogalactan containing &alpha;(1->3) and &beta;(1->2) arabinofuran linkages
CPD-12063	mycobacterial arabinogalactan containing extended &alpha;(1->3) arabinofuran linkages
CPD-12064	<i>N</i><sup>1</sup>-amidinostreptamine 6-phosphate
CPD-12084	(salicyl)adenylate
CPD-12085	(L-cysteinyl)adenylate
CPD-12097	<i>N</i><sup>5</sup>-formyl-<i>N</i><sup>5</sup>-hydroxy-L-ornithine
CPD-121	(R)-mandelate
CPD-12101	<i>N</i><sup>5</sup>-acetyl-<i>N</i><sup>5</sup>-hydroxy-L-ornithine
CPD-12112	salicyl-CoA
CPD-12115	demethylmenaquinol-8
CPD-12116	demethylmenaquinol-6
CPD-12117	demethylmenaquinol-7
CPD-12124	menaquinol-<i>6</i>
CPD-12125	menaquinol-<i>7</i>
CPD-12135	2-amino-4-[5-(2-amino-2-carboxylatoethyl)-2-hydroxyphenyl]pentanedioate
CPD-12151	D-histidine
CPD-12152	mycothiol-arsenate conjugate
CPD-12164	indolepropanol phosphate
CPD-12173	(<i>S</i>)-3-hydroxy-isobutanoyl-CoA
CPD-12175	(<i>S</i>)-3-hydroxy-isobutanoate
CPD-12197	15-&beta;-hydroxyprogesterone
CPD-12199	3S-(4-hydroxyphenyl)-3-hydroxy-propanoyl-CoA
CPD-122	<i>(S)</i>-mandelate
CPD-12230	a peptidoglycan with D,D cross-link (S. aureus)
CPD-12231	a peptidoglycan dimer (<I>meso</I>-diaminopimelate containing)
CPD-12242	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-L-lysyl-(<i>N</i><sup>6</sup>-glycyl)-D-alanyl-D-alanine
CPD-12245	vancomycin
CPD-12259	a peptidoglycan dimer (S. aureus)
CPD-12260	a peptidoglycan dimer (mycobacteria)
CPD-12261	a peptidoglycan with D,D cross-links (<I>meso</I>-diaminopimelate containing)
CPD-12266	serinol phosphate
CPD-12269	UDP-<i>N</i>-acetylmuramoyl-L-alanyl-D-isglutaminyl-N<sup>6</sup>-(L-alanyl-L-alanyl)-L-lysyl-D-alanyl-D-alanine
CPD-12271	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-N<sup>6</sup>-(L-alanyl)-L-lysyl-D-alanyl-D-alanine
CPD-12278	<i>N</i>-formylmaleamate
CPD-12279	2-iminoacetate
CPD-12281	&alpha;-Kdo-(2->8)-&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB>
CPD-12284	&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB>
CPD-12285	&alpha;-Kdo-(2->8)-[&alpha;-Kdo-(2->4)]-&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB>
CPD-12286	4-<i>O</i>-phospho-&alpha;-Kdo-(2&rarr;6)-lipid IV<sub>A</sub>
CPD-12294	ceftriaxone
CPD-12295	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-N-(&beta;-D-asparaginyl)-L-lysyl-D-alanyl-D-alanine
CPD-12297	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-L-lysyl-(glycyl)<sub>5</sub>-D-alanyl-D-alanine
CPD-12298	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine
CPD-12302	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-N-(&beta;-D-asparatyl)-L-lysyl-D-alanyl-D-alanine
CPD-12310	a peptidoglycan dimer (E. faeciums)
CPD-12311	a peptidoglycan tetramer with a D,D cross-link (<i>Enterococcus faecium</i>)
CPD-12313	schizokinen
CPD-12321	15-<i>cis</i>-phytoene
CPD-12334	D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose 1,7-bisphosphate
CPD-12335	D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose 1-phosphate
CPD-12336	GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose
CPD-12349	2-dehydro-3-deoxy-L-galactonate
CPD-12365	8-oxo-dGMP
CPD-12366	8-oxo-GTP
CPD-12367	8-oxo-GMP
CPD-124	4-methylaminobutanoate
CPD-12427	7,8-dihydro-8-oxoguanine
CPD-12430	5-guanidino-3-methyl-2-oxopentanoate
CPD-12435	&alpha;-D-galacturonosyl-(1&rarr;4)-&alpha;-D-galacturonate
CPD-12451	isocholate
CPD-12452	3-dehydrocholate
CPD-12460	&omega;, mono-<i>trans</i>,deca-<i>cis</i>-dodecaprenyl diphosphate
CPD-12461	tri-<i>trans</i>,hepta-<i>cis</i>-undecaprenyl diphosphate
CPD-12480	1,3,7-trimethylurate
CPD-125	(<i>S</i>)-6-hydroxynicotine
CPD-12563	4-deoxy-&beta;-D-gluc-4-enuronosyl-(1,3)-<i>N</i>-acetyl-D-galactosamine 4-sulfate
CPD-12565	<i>N</i>-acetyl-D-galactosamine 6-<i>O</i>-sulfate
CPD-12575	UDP-&alpha;-D-glucose
CPD-12576	<i>O</i>-citryl-L-serine
CPD-12578	diaminobutyryl-citryl-ethanolamine
CPD-12579	&alpha;-ketoglutaryl-diaminobutyryl-citryl-ethanolamine
CPD-12580	diaminobutyryl-citryl-ethanolamino-&alpha;-ketoglutarate
CPD-12585	(<i>2E,6E</i>)-farnesoate
CPD-12587	(2<i>E</i>,6<i>E</i>)-farnesyl phosphate
CPD-12589	staphyloferrin A
CPD-12590	staphyloferrin B
CPD-12609	(<i>S</i>)-dihydrodaidzein
CPD-12610	Mn<sup>IV</sup>O<sub>2</sub>
CPD-12611	3,4-didehydrorhodopin
CPD-12612	anhydrorhodovibrin
CPD-12613	rhodovibrin
CPD-12614	hydroxyspirilloxanthin
CPD-12615	spirilloxanthin
CPD-12616	2-oxospirilloxanthin
CPD-12617	2,2'-dioxospirilloxanthin
CPD-12626	1,1'-dihydroxy-neurosporene
CPD-12645	sulfoacetyl-CoA
CPD-12670	CDP-2-glycerol
CPD-12671	5-chloro-5-deoxy-D-ribose
CPD-12672	5-chloro-5-deoxy-D-ribono-&gamma;-lactone
CPD-12673	5-chloro-5-deoxy-D-ribonate
CPD-12675	chloroethylmalonyl-CoA
CPD-12676	5'-chloro-5'-deoxyadenosine
CPD-12677	5-chloro-5-deoxyribose 1-phosphate
CPD-12679	4-chloro-3-hydroxybutyryl-CoA
CPD-12680	4-chloro-crotonyl-CoA
CPD-12692	(2<i>R</i>)-3-sulfopropanediol
CPD-12693	(2<i>S</i>)-3-sulfopropanediol
CPD-12694	1-hydroxy-2-oxo-3-sulfopropane
CPD-12695	5-nitroanthranilate
CPD-12696	5-nitrosalicylate
CPD-12703	gentisyl-CoA
CPD-12706	5-fluoro-5-deoxy-D-ribose 1-phosphate
CPD-12707	5-fluoro-5-deoxy-D-ribulose 1-phosphate
CPD-12738	(3<i>R</i>)-3-hydroxy-D-aspartate
CPD-12760	(R)-4-phosphopantoate
CPD-12762	(2E,4E,6E)-2,6-dimethylocta-2,4,6-trienedial
CPD-12768	&beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol
CPD-12769	&alpha;-D-Man-(1&rarr;3)-&beta;-D-Glc-(1&rarr;4)-&alpha;-D-Glc-1-diphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-12771	&beta;-D-GlcA-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&beta;-D-Glc-(1&rarr;4)-&alpha;-D-Glc-1-diphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-12772	D-Man-&beta;-(1&rarr;4)-GlcA-&beta;-(1&rarr;2)-D-Man-&alpha;-(1&rarr;3)-D-Glc-&beta;-(1&rarr;4)-D-Glc-&alpha;-1-diphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-12773	&alpha;-D-glucopyranosyl-diphosphoundecaprenol
CPD-12774	monodechloroaminopyrrolnitrin
CPD-12775	aminopyrrolnitrin
CPD-12777	(3<i>R</i>)-hydroxydecanoyl-CoA
CPD-12781	D-Man-&beta;-(1&rarr;4)-GlcA-&beta;-(1&rarr;2)-6-<i>O</i>-acetyl-D-Man-&alpha;-(1&rarr;3)-D-Glc-&beta;-(1&rarr;4)-D-Glc-&alpha;-1-diphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-12782	6-<i>O</i>-acetyl-&beta;-D-mannosyl-(1,4)-&beta;-D-glucoronate-(1,2)-&alpha;-<i>N</i>-acetyl-D-mannosyl-(1,3)-&beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol
CPD-12783	4,6-CH3(COO-)C-D-Man-&beta;-(1&rarr;4)-GlcA-&beta;-(1&rarr;2)-6-<i>O</i>-acetyl-D-Man-&alpha;-(1&rarr;3)-D-Glc-&beta;-(1&rarr;4)-D-Glc-&alpha;-1-diphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-12784	&alpha;-D-glucosyl-(1,2)-&beta;-D-glucuronate-(1,2)-&alpha;-D-mannosyl-(1,3)-&beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol
CPD-12785	&beta;-D-glucosyl-(1,6)-&alpha;-D-glucosyl-(1,2)-&beta;-D-glucuronate-(1,2)-&alpha;-D-mannosyl-(1,3)-&beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol
CPD-12792	Reactive Blue 5
CPD-12797	2,6-dimethoxyphenol
CPD-12811	D-altritol
CPD-12825	D-threitol
CPD-12829	plastoquinol-9
CPD-12830	demethylphylloquinol
CPD-12831	phylloquinol
CPD-12847	pyocyanin
CPD-12849	(1<i>E</i>,3<i>E</i>)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate
CPD-12855	CDP-1L-<i>myo</i>-inositol
CPD-12856	bis(1L-<i>myo</i>-inositol) 3,1'-phosphate 1-phosphate
CPD-12869	5-methylphenazine-1-carboxylate
CPD-12896	citronellyll-CoA
CPD-12934	(3a<i>S</i>)-jadomycin B
CPD-12938	(3a<i>S</i>)-jadomycin A
CPD-12949	UWM6
CPD-12950	prejadomycin
CPD-12951	8-methyltetraphene-1,5,6,11,12-pentol
CPD-12952	dehydrorabelomycin
CPD-12955	3,5,7,9,11,13,15,17,19-nonaoxoicosanoate
CPD-12957	3-(2-formyl-6-hydroxy-4-methylphenyl)-8-hydroxy-1,4-dioxonaphthalene-2-carboxylate
CPD-12960	aclacinomycin A
CPD-12969	1-hydroxy-2-phosphorylethylphosphonate
CPD-12970	1-oxo-2-phosphorylethylphosphonate
CPD-1301	tetrahydropteroyl tri-L-glutamate
CPD-13013	2-[2-<i>O</i>-(&alpha;-D-mannopyranosyl)-(1&rarr;2)-&alpha;-D-glucopyranosyl]-3-phospho-D-glycerate
CPD-13015	2-[2-<i>O</i>-(&alpha;-D-mannopyranosyl)-(1&rarr;2)-&alpha;-D-glucopyranosyl]-D-glycerate
CPD-13018	UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<i>N</i><sup>&epsilon;</sup>-D-lysine
CPD-1302	5-methyltetrahydropteroyl tri-L-glutamate
CPD-13034	(2<i>E</i>)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate
CPD-13043	7-carboxy-7-deazaguanine
CPD-13056	toyocamycin
CPD-13059	2-keto-L-gulonate
CPD-13095	5-phospho-&alpha;-D-ribose-1-preQ<sub>0</sub>
CPD-13097	[(1R,2R,3S,4S)-4-{5-cyano-4-oxo-3H-pyrrolo[2,3-d]pyrimidin-7-yl}-2,3-dihydroxycyclopentyl]methyl phosphate
CPD-13099	succinylo-toyocamycin phosphate
CPD-13100	toyocamycin phosphate
CPD-13108	candicidin III
CPD-13109	4-aminobenzoyl-CoA
CPD-13118	GDP-&beta;-L-fucose
CPD-13121	2-<i>O</i>-(4-deoxy-&beta;-L-threo-hex-4-enopyranuronosyl)-&alpha;-L-rhamnopyranose
CPD-13122	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate
CPD-13144	aureothin
CPD-13149	<i>all-trans</i>-4,4'-diapolycopene
CPD-13150	4,4'-diapolycopen-4,4'-dial
