12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
PWY-6074	zymosterol biosynthesis
PWY-6077	anthranilate degradation II (aerobic)
PWY-6080	4-ethylphenol degradation (anaerobic)
PWY-6082	alginate biosynthesis II (bacterial)
PWY-6083	chlorobenzene degradation
PWY-6084	3,5-dichlorocatechol degradation
PWY-6085	2,4-dichlorophenoxyacetate degradation
PWY-6086	4-chloro-2-methylphenoxyacetate degradation
PWY-6087	4-chlorocatechol degradation
PWY-6089	3-chlorocatechol degradation I (<i>ortho</i>)
PWY-6090	1,2-dichlorobenzene degradation
PWY-6091	1,2,4-trichlorobenzene degradation
PWY-6093	4,5-dichlorocatechol degradation
PWY-6094	3,4,6-trichlorocatechol degradation
PWY-6095	dammara-20,24-diene biosynthesis
PWY-6098	diploterol biosynthesis
PWY-6102	5-chloro-3-methyl-catechol degradation
PWY-6104	3-chlorotoluene degradation II
PWY-6105	botryococcenes and methylated squalene biosynthesis
PWY-6107	chlorosalicylate degradation
PWY-6113	superpathway of mycolate biosynthesis
PWY-6116	mannosylfructose biosynthesis
PWY-6120	L-tyrosine biosynthesis III
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6123	inosine-5'-phosphate biosynthesis I
PWY-6124	inosine-5'-phosphate biosynthesis II
PWY-6132	lanosterol biosynthesis
PWY-6134	L-tyrosine biosynthesis IV
PWY-6138	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)
PWY-6139	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)
PWY-6140	CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate biosynthesis
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis
PWY-6142	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>)
PWY-6143	CMP-pseudaminate biosynthesis
PWY-6146	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6148	tetrahydromethanopterin biosynthesis
PWY-6151	<i>S</i>-adenosyl-L-methionine cycle I
PWY-6153	autoinducer AI-2 biosynthesis I
PWY-6154	autoinducer AI-2 biosynthesis II (<i>Vibrio</i>)
PWY-6157	autoinducer AI-1 biosynthesis
PWY-6160	3-dehydroquinate biosynthesis II (archaea)
PWY-6163	chorismate biosynthesis from 3-dehydroquinate
PWY-6164	3-dehydroquinate biosynthesis I
PWY-6167	flavin biosynthesis II (archaea)
PWY-6168	flavin biosynthesis III (fungi)
PWY-6174	mevalonate pathway II (archaea)
PWY-6178	2,4,6-trichlorophenol degradation
PWY-6183	salicylate degradation I
PWY-6184	methylsalicylate degradation
PWY-6185	4-methylcatechol degradation (<i>ortho</i> cleavage)
PWY-6193	3-chlorocatechol degradation II (<i>ortho</i>)
PWY-6196	D-serine metabolism
PWY-6197	chlorinated phenols degradation
PWY-6200	2,4,5-trichlorophenoxyacetate degradation
PWY-621	sucrose degradation III (sucrose invertase)
PWY-6210	2-aminophenol degradation
PWY-6214	3-chlorocatechol degradation III (<i>meta</i> pathway)
PWY-6215	4-chlorobenzoate degradation
PWY-6216	3-chlorobenzoate degradation II (via protocatechuate)
PWY-622	starch biosynthesis
PWY-6223	gentisate degradation I
PWY-6241	thyroid hormone biosynthesis
PWY-6268	adenosylcobalamin salvage from cobalamin
PWY-6269	superpathway of adenosylcobalamin salvage from cobinamide II
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-6279	myxol-2' fucoside biosynthesis
PWY-6280	synechoxanthin biosynthesis
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)
PWY-6286	spheroidene and spheroidenone biosynthesis
PWY-6287	neurosporene biosynthesis
PWY-6288	zeaxanthin-&beta;-D-diglucoside biosynthesis
PWY-6289	petrobactin biosynthesis
PWY-6297	tuberonate glucoside biosynthesis
PWY-6305	putrescine biosynthesis IV
PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)
PWY-6309	L-tryptophan degradation XI (mammalian, via kynurenine)
PWY-6313	serotonin degradation
PWY-6317	D-galactose degradation I (Leloir pathway)
PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)
PWY-6320	phaselate biosynthesis
PWY-6322	phosphinothricin tripeptide biosynthesis
PWY-6324	rebeccamycin biosynthesis
PWY-6328	L-lysine degradation X
PWY-6330	acetaldehyde biosynthesis II
PWY-6332	coumestrol biosynthesis
PWY-6333	acetaldehyde biosynthesis I
PWY-6336	protocatechuate degradation III (<I>para</I>-cleavage pathway)
PWY-6339	syringate degradation
PWY-6340	5,5'-dehydrodivanillate degradation
PWY-6341	guaiacylglycerol-&beta;-guaiacyl ether degradation
PWY-6342	noradrenaline and adrenaline degradation
PWY-6343	ferulate degradation
PWY-6344	L-ornithine degradation II (Stickland reaction)
PWY-6345	K-252 biosynthesis
PWY-6346	staurosporine biosynthesis
PWY-6349	CDP-archaeol biosynthesis
PWY-6350	archaetidylinositol biosynthesis
PWY-6366	D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis
PWY-6367	D-<i>myo</i>-inositol-5-phosphate metabolism
PWY-6368	3-phosphoinositide degradation
PWY-6373	acrylate degradation
PWY-6374	vibriobactin biosynthesis
PWY-6375	desferrioxamine E biosynthesis
PWY-6376	desferrioxamine B biosynthesis
PWY-6378	putrebactin biosynthesis
PWY-6379	alcaligin biosynthesis
PWY-6381	bisucaberin biosynthesis
PWY-6383	mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)
PWY-6386	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
PWY-6388	(S,S)-butanediol degradation
PWY-6389	pyruvate fermentation to (<i>S</i>)-acetoin
PWY-6390	(<i>S,S</i>)-butanediol biosynthesis
PWY-6391	<i>meso</i>-butanediol biosynthesis I
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6406	salicylate biosynthesis I
PWY-6407	yersiniabactin biosynthesis
PWY-6408	pyochelin biosynthesis
PWY-6409	pyoverdine I biosynthesis
PWY-6415	L-ascorbate biosynthesis V
PWY-6416	quinate degradation II
PWY-6419	shikimate degradation II
PWY-6420	pyrroloquinoline quinone biosynthesis
PWY-6421	arsenate detoxification III (mycothiol)
PWY-6422	D-arginine degradation
PWY-6430	thymine degradation
PWY-6435	4-hydroxybenzoate biosynthesis III (plants)
PWY-6443	benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)
PWY-6444	benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)
PWY-6454	vancomycin resistance I
PWY-6455	vancomycin resistance II
PWY-6456	serinol biosynthesis
PWY-6457	cinnamoyl-CoA biosynthesis
PWY-6458	benzoyl-CoA biosynthesis
PWY-6459	peptidoglycan cross-bridge biosynthesis I (S. aureus)
PWY-6461	peptidoglycan cross-bridge biosynthesis II (E. faecium)
PWY-6462	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)
PWY-6463	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)
PWY-6464	polyvinyl alcohol degradation
PWY-6467	Kdo transfer to lipid IV<SUB>A</SUB> III (Chlamydia)
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)
PWY-6473	4-aminobutanoate degradation IV
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)
PWY-6476	cytidylyl molybdenum cofactor biosynthesis
PWY-6478	GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose biosynthesis
PWY-6483	ceramide degradation
PWY-6486	D-galacturonate degradation II
PWY-6491	D-galacturonate degradation III
PWY-6497	D-galactarate degradation II
PWY-6499	D-glucarate degradation II
PWY-6501	D-glucuronate degradation II
PWY-6502	oxidized GTP and dGTP detoxification
PWY-6504	anthranilate degradation IV (aerobic)
PWY-6505	L-tryptophan degradation XII (Geobacillus)
PWY-6507	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation
PWY-6510	methanol oxidation to formaldehyde II
PWY-6511	3-methylarginine biosynthesis
PWY-6517	<i>N</i>-acetylglucosamine degradation II
PWY-6518	glycocholate metabolism (bacteria)
PWY-6519	8-amino-7-oxononanoate biosynthesis I
PWY-6520	nonaprenyl diphosphate biosynthesis II
PWY-6523	nitrite-dependent anaerobic methane oxidation
PWY-6526	limonene degradation III (to perillate)
PWY-6527	stachyose degradation
PWY-6531	mannitol cycle
PWY-6534	phenylethylamine degradation II
PWY-6535	4-aminobutanoate degradation I
PWY-6536	4-aminobutanoate degradation III
PWY-6537	4-aminobutanoate degradation II
PWY-6543	4-aminobenzoate biosynthesis
PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
PWY-6549	L-glutamine biosynthesis III
PWY-6556	pyrimidine ribonucleosides salvage II
PWY-6559	spermidine biosynthesis II
PWY-6562	norspermidine biosynthesis
PWY-6572	chondroitin sulfate degradation I (bacterial)
PWY-6574	achromobactin biosynthesis
PWY-6575	juvenile hormone III biosynthesis I
PWY-6580	phosphatidylinositol biosynthesis I (bacteria)
PWY-6581	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis
PWY-6583	pyruvate fermentation to butanol I
PWY-6587	pyruvate fermentation to ethanol III
PWY-6588	pyruvate fermentation to acetone
PWY-6591	manganese oxidation I
PWY-6592	manganese oxidation II
PWY-6593	sulfoacetate degradation
PWY-6596	adenosine nucleotides degradation I
PWY-6599	guanine and guanosine salvage II
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-6605	adenine and adenosine salvage II
PWY-6606	guanosine nucleotides degradation II
PWY-6607	guanosine nucleotides degradation I
PWY-6608	guanosine nucleotides degradation III
PWY-6609	adenine and adenosine salvage III
PWY-6610	adenine salvage
PWY-6611	adenine and adenosine salvage V
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate
PWY-6614	tetrahydrofolate biosynthesis
PWY-6616	sulfolactate degradation I
PWY-6620	guanine and guanosine salvage
PWY-6622	heptadecane biosynthesis
PWY-6626	cytidine-5'-diphosphate-glycerol biosynthesis
PWY-6627	salinosporamide A biosynthesis
PWY-6633	caffeine degradation V (bacteria, via trimethylurate)
PWY-6634	3-sulfopropanediol degradation
PWY-6637	sulfolactate degradation II
PWY-6638	sulfolactate degradation III
PWY-6640	salicylate degradation IV
PWY-6642	(<i>R</i>)-cysteate degradation
PWY-6644	fluoroacetate and fluorothreonine biosynthesis
PWY-6648	rhamnolipid biosynthesis
PWY-6649	glycolate and glyoxylate degradation III
PWY-6650	juvenile hormone III biosynthesis II
PWY-6654	phosphopantothenate biosynthesis III (archaebacteria)
PWY-6655	xanthan biosynthesis
PWY-6657	polyhydroxydecanoate biosynthesis
PWY-6658	acetan biosynthesis
PWY-6659	fusicoccin A biosynthesis
PWY-6660	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis
PWY-6661	4-hydroxy-2(1<i>H</i>)-quinolone biosynthesis
PWY-6664	di-myo-inositol phosphate biosynthesis
PWY-6666	pyocyanin biosynthesis
PWY-6670	citronellol degradation
PWY-6672	<i>cis</i>-genanyl-CoA degradation
PWY-6673	caffeoylglucarate biosynthesis
PWY-6675	sulfur oxidation IV (intracellular sulfur)
PWY-6677	thiosulfate oxidation IV (multienzyme complex)
PWY-6678	geraniol and nerol degradation
PWY-6679	jadomycin biosynthesis
PWY-6682	dehydrophos biosynthesis
PWY-6683	assimilatory sulfate reduction III
PWY-6686	mannosylglucosylglycerate biosynthesis I
PWY-6687	mannosylglucosylglycerate biosynthesis II
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
PWY-6691	plaunotol biosynthesis
PWY-6692	Fe(II) oxidation
PWY-6693	D-galactose degradation IV
PWY-6696	oxalate degradation III
PWY-6700	queuosine biosynthesis
PWY-6703	preQ<sub>0</sub> biosynthesis
PWY-6707	gallate biosynthesis
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)
PWY-6713	L-rhamnose degradation II
PWY-6714	L-rhamnose degradation III
PWY-6717	(1,4)-&beta;-D-xylan degradation
PWY-6718	sulfoacetaldehyde degradation III
PWY-6720	toyocamycin biosynthesis
PWY-6722	candicidin biosynthesis
PWY-6724	starch degradation II
PWY-6728	methylaspartate cycle
PWY-6731	starch degradation III
PWY-6735	starch degradation IV
PWY-6737	starch degradation V
PWY-6745	phytochelatins biosynthesis
PWY-6748	nitrate reduction VII (denitrification)
PWY-6749	CMP-legionaminate biosynthesis I
PWY-6753	<i>S</i>-methyl-5'-thioadenosine degradation III
PWY-6754	<i>S</i>-methyl-5'-thioadenosine degradation I
PWY-6760	D-xylose degradation III
PWY-6763	salicortin biosynthesis
PWY-6766	salicin biosynthesis
PWY-6767	4,4'-diapolycopenedioate biosynthesis
PWY-6771	rhamnogalacturonan type I degradation II (bacteria)
PWY-6772	hydrogen production V
PWY-6784	cellulose and hemicellulose degradation (cellulolosome)
PWY-6786	detoxification of reactive carbonyls in chloroplasts
PWY-6788	cellulose degradation II (fungi)
PWY-6789	(1,3)-&beta;-D-xylan degradation
PWY-6795	diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (<i>Methanocaldococcus</i>)
PWY-6799	fatty acid biosynthesis (plant mitochondria)
PWY-6803	phosphatidylcholine acyl editing
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)
PWY-6807	xyloglucan degradation II (exoglucanase)
PWY-6808	dTDP-D-forosamine biosynthesis
PWY-681	dibenzothiophene desulfurization
PWY-6815	porphyran degradation
PWY-6816	agarose degradation
PWY-6817	&lambda;-carrageenan degradation
PWY-6818	ornithine lipid biosynthesis
PWY-6821	&kappa;-carrageenan degradation
PWY-6822	&iota;-carrageenan degradation
PWY-6823	molybdenum cofactor biosynthesis
PWY-6824	justicidin B biosynthesis
PWY-6825	phosphatidylcholine biosynthesis V
PWY-6826	phosphatidylcholine biosynthesis VI
PWY-6827	gellan degradation
PWY-6828	linezolid resistance
PWY-6829	tRNA methylation (yeast)
PWY-6831	pyrrolnitrin biosynthesis
PWY-6832	2-aminoethylphosphonate degradation II
PWY-6834	spermidine biosynthesis III
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)
PWY-6839	2-aminoethylphosphonate biosynthesis
PWY-6840	homoglutathione biosynthesis
PWY-6842	glutathione-mediated detoxification II
PWY-6848	rutin degradation
PWY-6853	ethylene biosynthesis II (microbes)
PWY-6854	ethylene biosynthesis III (microbes)
PWY-6855	chitin degradation I (archaea)
PWY-6857	retinol biosynthesis
PWY-6859	<i>all-trans</i>-farnesol biosynthesis
PWY-6861	the visual cycle I (vertebrates)
PWY-6863	pyruvate fermentation to hexanol (engineered)
PWY-6871	3-methylbutanol biosynthesis (engineered)
PWY-6872	retinoate biosynthesis I
PWY-6873	long chain fatty acid ester synthesis (engineered)
PWY-6876	isopropanol biosynthesis (engineered)
PWY-6883	pyruvate fermentation to butanol II (engineered)
PWY-6886	1-butanol autotrophic biosynthesis (engineered)
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-6891	thiazole biosynthesis II (aerobic bacteria)
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria)
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)
PWY-6896	thiamine salvage I
PWY-6897	thiamine salvage II
PWY-6898	thiamine salvage III
PWY-6899	base-degraded thiamine salvage
PWY-6901	superpathway of glucose and xylose degradation
PWY-6902	chitin degradation II (Vibrio)
PWY-6906	chitin derivatives degradation
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)
PWY-6910	hydroxymethylpyrimidine salvage
PWY-6915	pentalenolactone biosynthesis
PWY-6919	neopentalenoketolactone and pentalenate biosynthesis
PWY-6920	6-gingerol analog biosynthesis (engineered)
PWY-6922	L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis
PWY-6933	seleno-amino acid detoxification and volatilization III
PWY-6936	seleno-amino acid biosynthesis (plants)
PWY-6938	NADH repair
PWY-6941	styrene degradation
PWY-6942	dTDP-D-desosamine biosynthesis
PWY-6943	testosterone and androsterone degradation to androstendione
PWY-6944	androstenedione degradation
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)
PWY-6948	sitosterol degradation to androstenedione
PWY-6949	DIBOA-glucoside biosynthesis
PWY-6952	glycerophosphodiester degradation
PWY-6953	dTDP-3-acetamido-&alpha;-D-fucose biosynthesis
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)
PWY-6964	ammonia assimilation cycle II
PWY-6965	methylamine degradation II
PWY-6968	trimethylamine degradation
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)
PWY-6971	oleandomycin biosynthesis
PWY-6972	oleandomycin activation/inactivation
PWY-6973	dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis
PWY-6974	dTDP-L-olivose biosynthesis
PWY-6976	dTDP-L-mycarose biosynthesis
PWY-6978	plastoquinol-9 biosynthesis II
PWY-6981	chitin biosynthesis
PWY-6982	umbelliferone biosynthesis
PWY-6983	<i>threo</i>-tetrahydrobiopterin biosynthesis
PWY-6984	lipoate salvage II
PWY-6986	alginate degradation
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)
PWY-6992	1,5-anhydrofructose degradation
PWY-6993	nicotine degradation II (pyrrolidine pathway)
PWY-6994	L-pyrrolysine biosynthesis
PWY-6995	5-hydroxymethylfurfural degradation
PWY-6996	daidzin and daidzein degradation
PWY-6997	furfural degradation
PWY-6998	CDP-D-arabitol biosynthesis
PWY-7000	kanamycin biosynthesis
PWY-7002	4-hydroxyacetophenone degradation
PWY-7003	glycerol degradation to butanol
PWY-7006	4-amino-3-hydroxybenzoate degradation
PWY-7007	methyl ketone biosynthesis (engineered)
PWY-7008	2-hydroxybiphenyl degradation
PWY-7009	2,2'-dihydroxybiphenyl degradation
PWY-701	L-methionine degradation II
PWY-7010	2-propylphenol degradation
PWY-7011	2-isopropylphenol degradation
PWY-7013	(<i>S</i>)-propane-1,2-diol degradation
PWY-7014	paromamine biosynthesis I
PWY-7015	ribostamycin biosynthesis
PWY-7016	neomycin biosynthesis
PWY-7018	paromomycin biosynthesis
PWY-7019	butirosin biosynthesis
PWY-702	L-methionine biosynthesis II (plants)
PWY-7022	paromamine biosynthesis II
PWY-7025	gentamicin biosynthesis
PWY-7026	terminal olefins biosynthesis I
PWY-7027	hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis
PWY-7028	UDP-<i>N,N'</i>-diacetylbacillosamine biosynthesis
PWY-7029	terminal olefins biosynthesis II
PWY-7031	protein <i>N</i>-glycosylation (bacterial)
PWY-7032	alkane biosynthesis I
PWY-7033	alkane biosynthesis II
PWY-7037	protein <i>O</i>-glycosylation (Neisseria)
PWY-7039	phosphatidate metabolism, as a signaling molecule
PWY-7040	violacein biosynthesis
PWY-7044	5-nitroanthranilate degradation
PWY-7045	mithramycin biosynthesis
PWY-7046	4-coumarate degradation (anaerobic)
PWY-7052	cyanophycin metabolism
PWY-7054	<i>N</i>-acetylglutaminylglutamine amide biosynthesis
PWY-7072	hopanoid biosynthesis (bacteria)
PWY-7077	<i>N</i>-acetyl-D-galactosamine degradation
PWY-7081	4-aminophenol degradation
PWY-7082	ammonia oxidation IV (autotrophic ammonia oxidizers)
PWY-7084	nitrifier denitrification
PWY-7085	triethylamine degradation
PWY-7087	2-methylisoborneol biosynthesis
PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis
PWY-7094	fatty acid salvage
PWY-7096	triclosan resistance
PWY-7097	vanillin and vanillate degradation I
PWY-7098	vanillin and vanillate degradation II
PWY-7100	spinosyn A biosynthesis
PWY-7102	bisabolene biosynthesis (engineered)
PWY-7104	dTDP-L-megosamine biosynthesis
PWY-7106	erythromycin D biosynthesis
PWY-7108	erythromycin A biosynthesis
PWY-7109	megalomicin A biosynthesis
PWY-7111	pyruvate fermentation to isobutanol (engineered)
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type
PWY-7118	chitin degradation to ethanol
PWY-7124	ethylene biosynthesis V (engineered)
PWY-7126	ethylene biosynthesis IV (engineered)
PWY-7127	CDP-D-mannitol biosynthesis
PWY-7128	nicotine degradation III (VPP pathway)
PWY-7130	L-glucose degradation
PWY-7131	CMP-legionaminate biosynthesis II
PWY-7134	rutin degradation (plants)
PWY-7136	&beta; myrcene degradation
PWY-7141	(3<i>S</i>)-linalool biosynthesis
PWY-7147	8-amino-7-oxononanoate biosynthesis II
PWY-7153	grixazone biosynthesis
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)
PWY-7165	L-ascorbate biosynthesis VI (engineered pathway)
PWY-7170	phytochromobilin biosynthesis
PWY-7174	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II
PWY-7175	nostoxanthin biosynthesis
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis
PWY-7177	UTP and CTP dephosphorylation II
PWY-7178	ethylene glycol biosynthesis (engineered)
PWY-7179	purine deoxyribonucleosides degradation I
PWY-7179-1	purine deoxyribonucleosides degradation II
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation
PWY-7181	pyrimidine deoxyribonucleosides degradation
PWY-7182	linalool biosynthesis I
PWY-7183	pyrimidine nucleobases salvage I
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
PWY-7185	UTP and CTP dephosphorylation I
PWY-7187	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-7193	pyrimidine ribonucleosides salvage I
PWY-7194	pyrimidine nucleobases salvage II
PWY-7195	pyrimidine ribonucleosides salvage III
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
PWY-7198	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV
PWY-7199	pyrimidine deoxyribonucleosides salvage
PWY-7204	pyridoxal 5'-phosphate salvage II (plants)
PWY-7205	CMP phosphorylation
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP
PWY-7216	(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)
PWY-7218	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis
PWY-722	nicotinate degradation I
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-7224	purine deoxyribonucleosides salvage
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I
PWY-7234	inosine-5'-phosphate biosynthesis III
PWY-7236	mycocyclosin biosynthesis
PWY-7237	<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation
PWY-7238	sucrose biosynthesis II
PWY-7241	<I>myo</I>-inositol degradation II
PWY-7242	D-fructuronate degradation
PWY-7246	pectin degradation I
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation
PWY-7248	pectin degradation II
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis
PWY-7254	TCA cycle VII (acetate-producers)
PWY-7255	ergothioneine biosynthesis I (bacteria)
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)
PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
PWY-7274	D-cycloserine biosynthesis
PWY-7275	L-homophenylalanine biosynthesis
PWY-7279	aerobic respiration II (cytochrome c) (yeast)
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)
PWY-7285	methylwyosine biosynthesis
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
PWY-7287	novobiocin biosynthesis
PWY-7288	fatty acid &beta;-oxidation (peroxisome, yeast)
PWY-7289	L-cysteine biosynthesis V (mycobacteria)
PWY-7290	<i>Escherichia coli</i> serotype O86 <i>O</i>-antigen biosynthesis
PWY-7292	oleate &beta;-oxidation (thioesterase-dependent, yeast)
PWY-7294	D-xylose degradation IV
PWY-7295	L-arabinose degradation IV
PWY-7299	progesterone biosynthesis
PWY-7301	dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis
PWY-7303	3-dimethylallyl-4-hydroxybenzoate biosynthesis
PWY-7304	3-amino-4,7-dihydroxy-coumarin biosynthesis
PWY-7310	D-glucosaminate degradation
PWY-7312	dTDP-D-&beta;-fucofuranose biosynthesis
PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis
PWY-7316	dTDP-<i>N</i>-acetylviosamine biosynthesis
PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7318	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7330	UDP-<i>N</i>-acetyl-&beta;-L-fucosamine biosynthesis
PWY-7331	UDP-<i>N</i>-acetyl-&beta;-L-quinovosamine biosynthesis
PWY-7332	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis
PWY-7333	UDP-<i>N</i>-acetyl-&alpha;-D-fucosamine biosynthesis
PWY-7334	UDP-<i>N</i>-acetyl-&alpha;-D-quinovosamine biosynthesis
PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis
PWY-7336	UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminuronate biosynthesis
PWY-7342	superpathway of nicotine biosynthesis
PWY-7343	UDP-&alpha;-D-glucose biosynthesis I
PWY-7344	UDP-&alpha;-D-galactose biosynthesis
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)
PWY-7347	sucrose biosynthesis III
PWY-735	jasmonic acid biosynthesis
PWY-7351	pyruvate fermentation to opines
PWY-7352	daunorubicin biosynthesis
PWY-7354	aclacinomycin biosynthesis
PWY-7355	doxorubicin biosynthesis
PWY-7356	thiamine salvage IV (yeast)
PWY-7357	thiamine formation from pyrithiamine and oxythiamine (yeast)
PWY-7367	phosphatidylcholine resynthesis via glycerophosphocholine
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
PWY-7378	aminopropanol phosphate biosynthesis II
PWY-7382	lipoate biosynthesis and incorporation (yeast)
PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)
PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)
PWY-7385	1,3-propanediol biosynthesis (engineered)
PWY-7387	hypotaurine degradation
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
