1-AMINO-PROPAN-2-OL	C[C@@H](O)C[N+]
CPD-18820	C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])[C@@H]5(CC[C@@H]6([C@H]7([C@H](O)CC4(/[C@](C)(CCC(=O)C=4)[C@@H](CC[C@](C)56)7))))
CPD-18821	C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])[C@@H]5(CC[C@@H]6([C@H]7(C=CC4(/[C@](C)(CCC(=O)C=4)[C@@H](CC[C@](C)56)7))))
CPD-18823	C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])[C@@H]5(CC[C@@H]6([C@H]7(CC[C@H]4(CC(=O)CC[C@@](C)4[C@@H](CC[C@](C)56)7))))
CPD-18825	C[C@H](CCC(=O)[O-])[C@@H]2(CC[C@@H]3([C@H]4([C@H](O)C[C@H]1(CC(=O)CC[C@@](C)1[C@@H](CC[C@](C)23)4))))
CPD-18826	C[C@H](CCC(=O)[O-])[C@@H]2(CC[C@@H]3([C@H]4([C@H](O)C[C@H]1(C[C@@H](O)CC[C@@](C)1[C@@H](CC[C@](C)23)4))))
CPD-18833	CC(C)(C1(/C=CC(\O)=C/C=1))C2(/C=CC(\O)=C/C=2)
CPD-18836	CC(O)(CC1(/C=CC(\O)=C/C=1))C2(/C=CC(\O)=C/C=2)
CPD-18840	CCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-](C(OC)=O)C(=O)C3(/C(/N2C(\C(/C)=3)=C/4)=5)))=C/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/C(C)=O))))))
CPD-18841	C=CC4(/C(\C)=C3(C=C9([C@@H](C)[C@H](CCC(=O)[O-])C8(=N(.[Mg]25(.N1(=C(C(\CC)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/C)=C7(C(/N56)=C([C-]C(=O)7)/8)))))9))))
CPD-18842	C=CC4(/C(\C)=C3(C=C9([C@@H](C)[C@H](CCC(=O)[O-])C8(=N(.[Mg]25(.N1(=C(C(\CC)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/CC)=C7(C(/N56)=C([C-]C(=O)7)/8)))))9))))
CPD-18843	CCCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C/C9(/N6C(\C=C(C(\C)=7)8)=C(C=C)/C(\C)=9))))))
CPD-18844	C=CC4(/C(\C)=C3(C=C9([C@@H](C)[C@H](CCC(=O)[O-])C8(=N(.[Mg]25(.N1(=C(C(\CC(C)C)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/CC)=C7(C(/N56)=C([C-]C(=O)7)/8)))))9))))
CPD-18845	CCC7(\C9(/N5([Mg]23(.N1(=C(C(\CC(C)C)=C(C)/C/1=C/C8(\N2C(\C=C4([C@@H](C)[C@H](CCC(=O)[O-])C(=N.34)C6(\[C-]C(=O)C(/C/5=6)=7)))=C(C)/C(\[C@H](O)C)=8))C=9)))))
CPD-18846	CCCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18848	CCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18849	CCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/C)=3)=C/4)=5)))=C/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18850	CCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/C)=3)=C/4)=5)))=C/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18851	CCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18852	CCCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/C(O)C))))))
CPD-18853	CCC7(\C9(/N5([Mg]23(.N1(=C(C(\CC(C)C)=C(C)/C/1=C/C8(\N2C(\C=C4([C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C(=N.34)C6(\[C-]C(=O)C(/C/5=6)=7)))=C(C)/C(\C(O)C)=8))C=9)))))
CPD-18858	CCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/C)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18859	CCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/C)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18860	CCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18861	CCCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18862	CCC7(\C9(/N5([Mg]23(.N1(=C(C(\CC(C)C)=C(C)/C/1=C/C8(\N2C(\C(\C)=C4([C@@H](C)[C@H](CCC(=O)[O-])C(=N.34)C6(\[C-]C(=O)C(/C/5=6)=7)))=C(C)/C(\[C@H](O)C)=8))C=9)))))
CPD-18863	CCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18864	CCCC7(/C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18865	CCC7(\C9(/N5([Mg]23(.N1(=C(C(\CC(C)C)=C(C)/C/1=C/C8(\N2C(\C(\C)=C4([C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C(=N.34)C6(\[C-]C(=O)C(/C/5=6)=7)))=C(C)/C(\[C@H](O)C)=8))C=9)))))
CPD-18870	CCC7(\C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C=O)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18871	CCC7(\C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/C)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C=O)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18872	CCC7(\C9(/N5([Mg]23(.N1(=C(C(/CC(C)C)=C(C/1=C/C8(\N2C(\C(\C)=C4([C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C(=N.34)C6(\[C-]C(=O)C(/C/5=6)=7)))=C(C)/C(\C(O)C)=8))/C=O)C=9)))))
CPD-18873	CCCC7(\C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C=O)=7)8)=C(C(\C)=9)/C(O)C))))))
CPD-18879	CCC7(\C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C=O)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18880	CCC7(\C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/C)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C=O)=7)8)=C(C(\C)=9)/[C@H](O)C))))))
CPD-18881	CCC7(\C9(/N5([Mg]23(.N1(=C(C(/CC(C)C)=C(C/1=C/C8(\N2C(\C(\C)=C4([C@@H](C)[C@H](CCC(=O)[O-])C(=N.34)C6(\[C-]C(=O)C(/C/5=6)=7)))=C(C)/C(\C(O)C)=8))/C=O)C=9)))))
CPD-18882	CCCC7(\C4(=N8(.[Mg]26(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C5(\[C-]C(=O)C3(/C(/N2C(\C(/CC)=3)=C/4)=5)))=C(C)/C9(/N6C(/C=C(C(\C=O)=7)8)=C(C(\C)=9)/C(O)C))))))
CPD-18885	CC=C4([C@@H](C)C8(/N5(.[Mg]27(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C6(\[C@@H-](C(OC)=O)C(=O)C3(/C(/N2C(\C(/C)=3)=C/C4=5)=6)))=C/C9(/N7C(/C=8)=C(C(\C)=9)/C(C)=O))))))
CPD-18886	C=CC4(/C(\C)=C3(C=C9([C@@H](C)[C@H](CCC(=O)[O-])C8(=N(.[Mg]25(.N1(=C(C(/[C@@H](C)C/1=C/C(/N23)=4)=C/C)C=C6(C(/C)=C7(C(/N56)=C([C@@H-](C(OC)=O)C(=O)7)/8)))))9))))
CPD-18887	CC=C4([C@@H](C)C8(/N5(.[Mg]27(.N1(C(\[C@@H](C)[C@H](CCC(=O)[O-])C=1C6(\[C@@H-](C(OC)=O)C(=O)C3(/C(/N2C(\C(/C)=3)=C/C4=5)=6)))=C/C9(/N7C(/C=8)=C(C(\C)=9)/C(C)O))))))
CPD-18890	CC=C4([C@@H](C)C8(/N5(.[Mg]27(.N1(C(\[C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C=1C6(\[C@@H-](C(OC)=O)C(=O)C3(/C(/N2C(\C(/C)=3)=C/C4=5)=6)))=C/C9(/N7C(/C=8)=C(C(\C)=9)/C(C)=O))))))
CPD-18905	C=CC4(/C(\C)=C3(C=C9([C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C8(=N(.[Mg]25(.N1(=C(C(\C=C)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/C)=C7(C(/N56)=C([C@@H-](C(OC)=O)C(=O)7)/8)))))9))))
CPD-18908	CC1(\C=CC(/C(=O)C[C@H]([N+])C([O-])=O)=C(C(\O)=1)/N)
CPD-18913	C(O)[C@H]3([C@@H](O)[C@H](O)[C@H](O[C@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)1))2))C(O)O3)
CPD-18916	C(N(CC(=O)[O-])CC[N+](CC(=O)[O-])CC(=O)[O-])C[N+](CC([O-])=O)CC([O-])=O
CPD-18923	C[C@@]13([C@@H](O)CC[C@H]1[C@H]2(CCC4(/[C@@](C)([C@@H]2CC3)[C@@H](O)CC(=O)C=4)))
CPD-18924	C[C@@]34(CC[C@@H]2([C@@H](CCC1(/[C@](C)([C@@H](O)CC(=O)C=1)2))[C@H](CCC(=O)3)4))
CPD-18928	CC1(/C(=O)NC(=O)C(\CCC([O-])=O)=1)
CPD-18929	C=CC3(/C(\C)=C(C=C1(C(\C)=C(CCC([O-])=O)/C(=O)N1))/NC(\C=C2(C(\C)=C(C=C)/C(=O)N2))=3)
CPD-18934	C[C@@H]([C@H](O)C([O-])=O)C1(/C2(\C=CC=CC(/NC=1)=2))
CPD-18935	C(\NC(N)=[N+])=C/C[C@H]([N+])C(=O)[O-]
CPD-18937	C[C@@H]([C@H](O)C(=O)NC(=N)NC=CC[C@@H](C([O-])=O)[N+])C1(/C2(\C=CC=CC(/NC=1)=2))
CPD-18963	COC1(/C(\O)=C/C=C(C=1)[C@@H]2(OC3(C(\OC)=C/C(C=CC([O-])=O)=CC([C@H](CO)2)=3)))
CPD-18964	COC1(/C(\O)=C/C=C(C=1)[C@@H]2(OC3(C(\OC)=C/C(C=CC([O-])=O)=CC([C@H]([CH]=O)2)=3)))
CPD-18965	COC1(/C(\O)=C/C=C(C=1)[C@@H]2(OC3(C(\OC)=C/C(C=CC([O-])=O)=CC([C@H](C([O-])=O)2)=3)))
CPD-18977	CC(\C[C@@H]1([C@H](O)[C@H](O)[C@@H](CC=C[C@H]([C@H](C)O)C)CO1))=C/C(OCCCCCCCCC([O-])=O)=O
CPD-18978	CC(\C[C@@H]1([C@H](O)[C@H](O)[C@@H](CC=C[C@H]([C@H](C)O)C)CO1))=C/C(OCCCCCCCC(=O)[O-])=O
CPD-18979	CC(\C[C@@H]1([C@H](O)[C@H](O)[C@@H](CC=C[C@H]([C@H](C)O)C)CO1))=C/C(OCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(N=CN=C(C(N=C3)=4)N))))[O-])[O-])=O
CPD-18981	CC(\C[C@@H]1([C@H](O)[C@H](O)[C@@H](CC=C[C@H]([C@H](C)O)C)CO1))=C/C(OCCCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(N=CN=C(C(N=C3)=4)N))))[O-])[O-])=O)=O
CPD-19005	C(O)CSCCS(=O)(=O)[O-]
CPD-19008	C(CS(=O)(=O)[O-])SCC(=O)[O-]
CPD-19012	CC(C)(C)O
CPD-19013	CC(O)(C)CO
CPD-19014	CC(O)(C)C(=O)[O-]
CPD-19037	CC(O)(C)[CH]=O
CPD-19040	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(O)(C)C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19043	CC(C)(C)OCO
CPD-19044	CC(C)(C)O[CH]=O
CPD-19066	C[C@H](CCC[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])C)[C@@H]6(CC[C@@H]7([C@H]5(CCC4(/[C@@](CCC(=O)C=4)(C)[C@H]5CC[C@](C)67))))
CPD-19067	C[C@H](CCC[C@H](C(=O)[O-])C)[C@@H]3(CC[C@@H]4([C@H]2(CCC1(/[C@@](CCC(=O)C=1)(C)[C@H]2CC[C@](C)34))))
CPD-19072	C[C@H](CCC[C@@H](C(=O)[O-])C)[C@@H]3(CC[C@@H]4([C@H]2(CC=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))
CPD-19074	C[C@H](CCC[C@H](C(=O)[O-])C)[C@@H]3(CC[C@@H]4([C@H]2(CC=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))
CPD-19092	CCCCC(CC)COS([O-])(=O)=O
CPD-191	CC=C(CCC=C(CCC=C(CCC=C(CCC=C(C)CCC=C(CCC=C(CCC=C(CCC=C(C)CCC=C(C)CCC=C(C)COP(=O)([O-])OP(=O)([O-])O[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))C)C)C)C)C)C)C
CPD-19111	C(O)[C@H](O)CO[C@@H]1(O[C@H](CS([O-])(=O)=O)[C@@H](O)[C@H](O)[C@@H](O)1)
CPD-19114	C([O-])(=O)CC(C1(/C(\N)=C/C=CC=1))=O
CPD-19118	C([O-])(=O)CC(C1(/C(\NO)=C/C=CC=1))=O
CPD-19133	C(O)C(=O)[C@H](O)COP([O-])(=O)[O-]
CPD-19135	C(C([C@H](O)CO)=O)OP([O-])([O-])=O
CPD-19136	C(C([C@@H](O)CO)=O)OP([O-])([O-])=O
CPD-19138	C([C@H]([C@H](COP([O-])(=O)[O-])O)O)O
CPD-19144	CCCCCCCCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19147	CCCCCCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19148	CCCCCCC=CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19150	CCCCCCC=CCC=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19151	CCCCCCC=CC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19153	CCCCCCC=CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19154	CCCCCCC=CCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19155	CCCCCCC=CCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19157	CCCCCCC=CCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19158	CCCCCCC=CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19159	CCCCCCC=CCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19160	CCCCCCC=CCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19161	CCCCCCC=CCCCC=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19162	CCCCCCC=CCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19163	CCCCCCC=CCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19167	CCCCCCCCC=CCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19168	CCCCCCCCC=CCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19169	CCCCCCCCC=CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19170	CCCCCCCCC=CCCCC=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19171	CCCCCCCCC=CCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19172	CCCCCCCCC=CCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPD-19179	C(OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)[O-])[C@@H]1(O[C@@H]2(N3(C4(N=C(N)NC(=O)C(N[C@H]([C@](O)1[C@@H](O)2)3)=4))))
CPD-19181	COP(=O)(O[DNA<sub><i>n</i></sub>])O[DNA<sub><i>n</i></sub>]
CPD-19185	O(P(O[DNA<sub><i>n</i></sub>])([O-])=O)[DNA<sub><i>n</i></sub>]
CPD-19187	C(O)COC(=O)C1(/C=CC(\C([O-])=O)=C/C=1)
CPD-19188	C(O[R1])COC(=O)C2(/C=CC(\C(=O)OCCOC(=O)C1(/C=CC(\C(O[R2])=O)=C/C=1))=C/C=2)
CPD-19199	C3(O)(O[C@H](CO)[C@@H](O[C@H]2(O[C@H](CO)[C@H](O[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@@H](O)2))[C@H](O)[C@@H](O)3)
CPD-19202	C(NC(N)=[N+])CC[C@H](NC(=O)[C@@H]([N+])C1(/C=CC(\O)=C/C=1))C(=O)N[C@@H](C(N[C@@H](CO)C(=O)N[C@H](C([O-])=O)C2(/C=CC(\O)=C/C=2))=O)C3(/C=CC(\O)=C/C=3)
CPD-19203	C(O)[C@H](NC(=O)[C@H]([N+])C1(/C=CC(\O)=C/C=1))C(=O)N[C@H](C([O-])=O)C2(/C=CC(\O)=C/C=2)
CPD-19205	C(NC(N)=[N+])CC[C@H](NC(=O)[C@@H]([N+])C1(/C=CC(\O)=C/C=1))C(=O)[O-]
CPD-19209	C3([C@H](NC(C(C1(/C=CC(\OCC[C@H]([N+])C(=O)[O-])=C/C=1))=NO)=O)C(=O)N([C@H](C2(/C=CC(\O)=C/C=2))C(=O)[O-])3)
CPD-19220	C(O)[C@@]1(O)(CC(=O)C(/O)=C(C1)/O)
CPD-19233	COC1(/C(=O)C(\OC)=C/C(C=1)=C2(C=C(OC)C(=O)C(\OC)=C/2))
CPD-19235	CC(=O)NCP([O-])(=O)O[C@H]1([C@@H]([C@@H]([C@H](O1)COP([O-])(OP([O-])(=O)OP(=O)([O-])[O-])=O)O)O)
CPD-19236	CC(=O)NCP([O-])(=O)O[C@H]1([C@@H]([C@@H]([C@H](O1)COP([O-])([O-])=O)O)O)
CPD-19237	CC(=O)NC
