1-2-Diglycerides	a 1,2-diglyceride
GO:0004632	phosphopantothenate--cysteine ligase activity
GO:0004633	phosphopantothenoylcysteine decarboxylase activity
GO:0004634	phosphopyruvate hydratase activity
GO:0004635	phosphoribosyl-AMP cyclohydrolase activity
GO:0004636	phosphoribosyl-ATP diphosphatase activity
GO:0004637	phosphoribosylamine-glycine ligase activity
GO:0004638	phosphoribosylaminoimidazole carboxylase activity
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0004640	phosphoribosylanthranilate isomerase activity
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity
GO:0004642	phosphoribosylformylglycinamidine synthase activity
GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
GO:0004644	phosphoribosylglycinamide formyltransferase activity
GO:0004645	phosphorylase activity
GO:0004647	phosphoserine phosphatase activity
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
GO:0004652	polynucleotide adenylyltransferase activity
GO:0004654	polyribonucleotide nucleotidyltransferase activity
GO:0004655	porphobilinogen synthase activity
GO:0004657	proline dehydrogenase activity
GO:0004658	propionyl-CoA carboxylase activity
GO:0004659	prenyltransferase activity
GO:0004664	prephenate dehydratase activity
GO:0004665	prephenate dehydrogenase (NADP+) activity
GO:0004672	protein kinase activity
GO:0004673	protein histidine kinase activity
GO:0004674	protein serine/threonine kinase activity
GO:0004713	protein tyrosine kinase activity
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
GO:0004721	phosphoprotein phosphatase activity
GO:0004722	protein serine/threonine phosphatase activity
GO:0004725	protein tyrosine phosphatase activity
GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity
GO:0004730	pseudouridylate synthase activity
GO:0004731	purine-nucleoside phosphorylase activity
GO:0004733	pyridoxamine-phosphate oxidase activity
GO:0004735	pyrroline-5-carboxylate reductase activity
GO:0004736	pyruvate carboxylase activity
GO:0004738	pyruvate dehydrogenase activity
GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity
GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity
GO:0004743	pyruvate kinase activity
GO:0004746	riboflavin synthase activity
GO:0004747	ribokinase activity
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0004749	ribose phosphate diphosphokinase activity
GO:0004750	ribulose-phosphate 3-epimerase activity
GO:0004751	ribose-5-phosphate isomerase activity
GO:0004756	selenide, water dikinase activity
GO:0004764	shikimate 3-dehydrogenase (NADP+) activity
GO:0004765	shikimate kinase activity
GO:0004766	spermidine synthase activity
GO:0004769	steroid delta-isomerase activity
GO:0004775	succinate-CoA ligase (ADP-forming) activity
GO:0004777	succinate-semialdehyde dehydrogenase (NAD+) activity
GO:0004781	sulfate adenylyltransferase (ATP) activity
GO:0004783	sulfite reductase (NADPH) activity
GO:0004784	superoxide dismutase activity
GO:0004787	thiamine-pyrophosphatase activity
GO:0004788	thiamine diphosphokinase activity
GO:0004789	thiamine-phosphate diphosphorylase activity
GO:0004791	thioredoxin-disulfide reductase activity
GO:0004792	thiosulfate sulfurtransferase activity
GO:0004793	threonine aldolase activity
GO:0004794	L-threonine ammonia-lyase activity
GO:0004795	threonine synthase activity
GO:0004797	thymidine kinase activity
GO:0004798	thymidylate kinase activity
GO:0004799	thymidylate synthase activity
GO:0004801	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
GO:0004802	transketolase activity
GO:0004803	transposase activity
GO:0004805	trehalose-phosphatase activity
GO:0004807	triose-phosphate isomerase activity
GO:0004808	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity
GO:0004810	tRNA adenylyltransferase activity
GO:0004812	aminoacyl-tRNA ligase activity
GO:0004813	alanine-tRNA ligase activity
GO:0004814	arginine-tRNA ligase activity
GO:0004815	aspartate-tRNA ligase activity
GO:0004816	asparagine-tRNA ligase activity
GO:0004817	cysteine-tRNA ligase activity
GO:0004818	glutamate-tRNA ligase activity
GO:0004819	glutamine-tRNA ligase activity
GO:0004820	glycine-tRNA ligase activity
GO:0004821	histidine-tRNA ligase activity
GO:0004822	isoleucine-tRNA ligase activity
GO:0004823	leucine-tRNA ligase activity
GO:0004824	lysine-tRNA ligase activity
GO:0004825	methionine-tRNA ligase activity
GO:0004826	phenylalanine-tRNA ligase activity
GO:0004827	proline-tRNA ligase activity
GO:0004828	serine-tRNA ligase activity
GO:0004829	threonine-tRNA ligase activity
GO:0004830	tryptophan-tRNA ligase activity
GO:0004831	tyrosine-tRNA ligase activity
GO:0004832	valine-tRNA ligase activity
GO:0004834	tryptophan synthase activity
GO:0004838	L-tyrosine:2-oxoglutarate aminotransferase activity
GO:0004842	ubiquitin-protein transferase activity
GO:0004844	uracil DNA N-glycosylase activity
GO:0004845	uracil phosphoribosyltransferase activity
GO:0004848	ureidoglycolate hydrolase activity
GO:0004849	uridine kinase activity
GO:0004850	uridine phosphorylase activity
GO:0004851	uroporphyrin-III C-methyltransferase activity
GO:0004852	uroporphyrinogen-III synthase activity
GO:0004853	uroporphyrinogen decarboxylase activity
GO:0004854	xanthine dehydrogenase activity
GO:0004856	xylulokinase activity
GO:0004857	enzyme inhibitor activity
GO:0004970	ionotropic glutamate receptor activity
GO:0005034	osmosensor activity
GO:0005048	signal sequence binding
GO:0005096	GTPase activator activity
GO:0005125	cytokine activity
GO:0005198	structural molecule activity
GO:0005215	transporter activity
GO:0005216	ion channel activity
GO:0005244	voltage-gated ion channel activity
GO:0005247	voltage-gated chloride channel activity
GO:0005253	anion channel activity
GO:0005254	chloride channel activity
GO:0005260	intracellularly ATP-gated chloride channel activity
GO:0005267	potassium channel activity
GO:0005275	amine transmembrane transporter activity
GO:0005280	amino acid:proton symporter activity
GO:0005294	neutral L-amino acid secondary active transmembrane transporter activity
GO:0005295	neutral amino acid:sodium symporter activity
GO:0005297	proline:proton symporter activity
GO:0005298	proline:sodium symporter activity
GO:0005300	high-affinity tryptophan transmembrane transporter activity
GO:0005302	L-tyrosine transmembrane transporter activity
GO:0005304	L-valine transmembrane transporter activity
GO:0005315	inorganic phosphate transmembrane transporter activity
GO:0005319	lipid transporter activity
GO:0005337	nucleoside transmembrane transporter activity
GO:0005344	oxygen carrier activity
GO:0005345	purine nucleobase transmembrane transporter activity
GO:0005350	pyrimidine nucleobase transmembrane transporter activity
GO:0005351	carbohydrate:proton symporter activity
GO:0005354	galactose transmembrane transporter activity
GO:0005355	glucose transmembrane transporter activity
GO:0005363	maltose transmembrane transporter activity
GO:0005368	taurine transmembrane transporter activity
GO:0005375	copper ion transmembrane transporter activity
GO:0005384	manganese ion transmembrane transporter activity
GO:0005385	zinc ion transmembrane transporter activity
GO:0005402	carbohydrate:cation symporter activity
GO:0005416	amino acid:cation symporter activity
GO:0005452	inorganic anion exchanger activity
GO:0005469	succinate:fumarate antiporter activity
GO:0005477	pyruvate secondary active transmembrane transporter activity
GO:0005488	binding
GO:0005497	androgen binding
GO:0005504	fatty acid binding
GO:0005506	iron ion binding
GO:0005507	copper ion binding
GO:0005509	calcium ion binding
GO:0005515	protein binding
GO:0005524	ATP binding
GO:0005525	GTP binding
GO:0005534	galactose binding
GO:0005536	glucose binding
GO:0005542	folic acid binding
GO:0005543	phospholipid binding
GO:0005575	cellular_component
GO:0005576	extracellular region
GO:0005618	cell wall
GO:0005623	cell
GO:0005634	nucleus
GO:0005654	nucleoplasm
GO:0005694	chromosome
GO:0005737	cytoplasm
GO:0005739	mitochondrion
GO:0005740	mitochondrial envelope
GO:0005741	mitochondrial outer membrane
GO:0005743	mitochondrial inner membrane
GO:0005759	mitochondrial matrix
GO:0005764	lysosome
GO:0005765	lysosomal membrane
GO:0005774	vacuolar membrane
GO:0005777	peroxisome
GO:0005778	peroxisomal membrane
GO:0005783	endoplasmic reticulum
GO:0005788	endoplasmic reticulum lumen
GO:0005789	endoplasmic reticulum membrane
GO:0005829	cytosol
GO:0005839	proteasome core complex
GO:0005840	ribosome
GO:0005856	cytoskeleton
GO:0005886	plasma membrane
GO:0005887	integral component of plasma membrane
GO:0005945	6-phosphofructokinase complex
GO:0005948	acetolactate synthase complex
GO:0005951	carbamoyl-phosphate synthase complex
GO:0005960	glycine cleavage complex
GO:0005967	mitochondrial pyruvate dehydrogenase complex
GO:0005971	ribonucleoside-diphosphate reductase complex
GO:0005975	carbohydrate metabolic process
GO:0005976	polysaccharide metabolic process
GO:0005977	glycogen metabolic process
GO:0005978	glycogen biosynthetic process
GO:0005980	glycogen catabolic process
GO:0005986	sucrose biosynthetic process
GO:0005989	lactose biosynthetic process
GO:0005990	lactose catabolic process
GO:0005991	trehalose metabolic process
GO:0005992	trehalose biosynthetic process
GO:0005993	trehalose catabolic process
GO:0005995	melibiose catabolic process
GO:0005996	monosaccharide metabolic process
GO:0005997	xylulose metabolic process
GO:0005998	xylulose catabolic process
GO:0006000	fructose metabolic process
GO:0006001	fructose catabolic process
GO:0006002	fructose 6-phosphate metabolic process
GO:0006003	fructose 2,6-bisphosphate metabolic process
GO:0006004	fucose metabolic process
GO:0006006	glucose metabolic process
GO:0006007	glucose catabolic process
GO:0006011	UDP-glucose metabolic process
GO:0006012	galactose metabolic process
GO:0006013	mannose metabolic process
GO:0006014	D-ribose metabolic process
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
GO:0006032	chitin catabolic process
GO:0006040	amino sugar metabolic process
GO:0006043	glucosamine catabolic process
GO:0006044	N-acetylglucosamine metabolic process
GO:0006046	N-acetylglucosamine catabolic process
GO:0006047	UDP-N-acetylglucosamine metabolic process
GO:0006048	UDP-N-acetylglucosamine biosynthetic process
GO:0006051	N-acetylmannosamine metabolic process
GO:0006053	N-acetylmannosamine catabolic process
GO:0006054	N-acetylneuraminate metabolic process
GO:0006062	sorbitol catabolic process
GO:0006064	glucuronate catabolic process
GO:0006065	UDP-glucuronate biosynthetic process
GO:0006066	alcohol metabolic process
GO:0006069	ethanol oxidation
GO:0006071	glycerol metabolic process
GO:0006072	glycerol-3-phosphate metabolic process
GO:0006081	cellular aldehyde metabolic process
GO:0006082	organic acid metabolic process
GO:0006083	acetate metabolic process
GO:0006084	acetyl-CoA metabolic process
GO:0006085	acetyl-CoA biosynthetic process
GO:0006086	acetyl-CoA biosynthetic process from pyruvate
GO:0006089	lactate metabolic process
GO:0006090	pyruvate metabolic process
GO:0006091	generation of precursor metabolites and energy
GO:0006094	gluconeogenesis
GO:0006096	glycolytic process
GO:0006097	glyoxylate cycle
GO:0006098	pentose-phosphate shunt
GO:0006099	tricarboxylic acid cycle
GO:0006101	citrate metabolic process
GO:0006103	2-oxoglutarate metabolic process
GO:0006104	succinyl-CoA metabolic process
GO:0006105	succinate metabolic process
GO:0006106	fumarate metabolic process
GO:0006107	oxaloacetate metabolic process
GO:0006108	malate metabolic process
GO:0006110	regulation of glycolytic process
GO:0006113	fermentation
GO:0006115	ethanol biosynthetic process
GO:0006119	oxidative phosphorylation
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
GO:0006139	nucleobase-containing compound metabolic process
GO:0006144	purine nucleobase metabolic process
GO:0006145	purine nucleobase catabolic process
GO:0006146	adenine catabolic process
GO:0006147	guanine catabolic process
GO:0006148	inosine catabolic process
GO:0006149	deoxyinosine catabolic process
GO:0006150	hypoxanthine oxidation
GO:0006152	purine nucleoside catabolic process
GO:0006154	adenosine catabolic process
GO:0006161	deoxyguanosine catabolic process
GO:0006163	purine nucleotide metabolic process
GO:0006164	purine nucleotide biosynthetic process
GO:0006165	nucleoside diphosphate phosphorylation
GO:0006166	purine ribonucleoside salvage
GO:0006168	adenine salvage
GO:0006171	cAMP biosynthetic process
GO:0006172	ADP biosynthetic process
GO:0006177	GMP biosynthetic process
GO:0006178	guanine salvage
GO:0006183	GTP biosynthetic process
GO:0006188	IMP biosynthetic process
GO:0006189	'de novo' IMP biosynthetic process
GO:0006203	dGTP catabolic process
GO:0006206	pyrimidine nucleobase metabolic process
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
GO:0006208	pyrimidine nucleobase catabolic process
GO:0006209	cytosine catabolic process
GO:0006210	thymine catabolic process
GO:0006212	uracil catabolic process
GO:0006213	pyrimidine nucleoside metabolic process
GO:0006217	deoxycytidine catabolic process
GO:0006218	uridine catabolic process
GO:0006220	pyrimidine nucleotide metabolic process
GO:0006221	pyrimidine nucleotide biosynthetic process
GO:0006222	UMP biosynthetic process
GO:0006223	uracil salvage
GO:0006225	UDP biosynthetic process
GO:0006226	dUMP biosynthetic process
GO:0006227	dUDP biosynthetic process
GO:0006228	UTP biosynthetic process
GO:0006229	dUTP biosynthetic process
GO:0006231	dTMP biosynthetic process
GO:0006233	dTDP biosynthetic process
GO:0006235	dTTP biosynthetic process
GO:0006241	CTP biosynthetic process
GO:0006259	DNA metabolic process
GO:0006260	DNA replication
GO:0006261	DNA-dependent DNA replication
GO:0006265	DNA topological change
GO:0006266	DNA ligation
GO:0006267	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
GO:0006268	DNA unwinding involved in DNA replication
GO:0006269	DNA replication, synthesis of RNA primer
GO:0006270	DNA replication initiation
GO:0006271	DNA strand elongation involved in DNA replication
GO:0006274	DNA replication termination
GO:0006276	plasmid maintenance
GO:0006281	DNA repair
GO:0006284	base-excision repair
GO:0006285	base-excision repair, AP site formation
GO:0006288	base-excision repair, DNA ligation
GO:0006289	nucleotide-excision repair
GO:0006298	mismatch repair
GO:0006302	double-strand break repair
GO:0006304	DNA modification
GO:0006306	DNA methylation
GO:0006307	DNA dealkylation involved in DNA repair
GO:0006308	DNA catabolic process
GO:0006310	DNA recombination
GO:0006313	transposition, DNA-mediated
GO:0006351	transcription, DNA-templated
GO:0006352	DNA-templated transcription, initiation
GO:0006353	DNA-templated transcription, termination
GO:0006355	regulation of transcription, DNA-templated
GO:0006364	rRNA processing
GO:0006378	mRNA polyadenylation
GO:0006382	adenosine to inosine editing
GO:0006396	RNA processing
GO:0006397	mRNA processing
GO:0006399	tRNA metabolic process
GO:0006400	tRNA modification
GO:0006401	RNA catabolic process
GO:0006402	mRNA catabolic process
GO:0006412	translation
GO:0006413	translational initiation
GO:0006414	translational elongation
GO:0006415	translational termination
GO:0006417	regulation of translation
GO:0006418	tRNA aminoacylation for protein translation
GO:0006419	alanyl-tRNA aminoacylation
GO:0006420	arginyl-tRNA aminoacylation
GO:0006421	asparaginyl-tRNA aminoacylation
GO:0006422	aspartyl-tRNA aminoacylation
GO:0006423	cysteinyl-tRNA aminoacylation
GO:0006424	glutamyl-tRNA aminoacylation
GO:0006425	glutaminyl-tRNA aminoacylation
GO:0006426	glycyl-tRNA aminoacylation
GO:0006427	histidyl-tRNA aminoacylation
GO:0006428	isoleucyl-tRNA aminoacylation
GO:0006429	leucyl-tRNA aminoacylation
GO:0006430	lysyl-tRNA aminoacylation
GO:0006431	methionyl-tRNA aminoacylation
GO:0006432	phenylalanyl-tRNA aminoacylation
GO:0006433	prolyl-tRNA aminoacylation
GO:0006434	seryl-tRNA aminoacylation
GO:0006435	threonyl-tRNA aminoacylation
GO:0006436	tryptophanyl-tRNA aminoacylation
GO:0006437	tyrosyl-tRNA aminoacylation
GO:0006438	valyl-tRNA aminoacylation
GO:0006450	regulation of translational fidelity
GO:0006457	protein folding
GO:0006458	'de novo' protein folding
GO:0006464	cellular protein modification process
GO:0006465	signal peptide processing
GO:0006468	protein phosphorylation
GO:0006470	protein dephosphorylation
GO:0006474	N-terminal protein amino acid acetylation
GO:0006476	protein deacetylation
GO:0006479	protein methylation
GO:0006482	protein demethylation
GO:0006486	protein glycosylation
GO:0006487	protein N-linked glycosylation
GO:0006493	protein O-linked glycosylation
GO:0006506	GPI anchor biosynthetic process
GO:0006508	proteolysis
GO:0006511	ubiquitin-dependent protein catabolic process
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
GO:0006518	peptide metabolic process
GO:0006520	cellular amino acid metabolic process
GO:0006522	alanine metabolic process
GO:0006523	alanine biosynthetic process
GO:0006525	arginine metabolic process
GO:0006526	arginine biosynthetic process
GO:0006527	arginine catabolic process
GO:0006528	asparagine metabolic process
GO:0006529	asparagine biosynthetic process
GO:0006530	asparagine catabolic process
GO:0006531	aspartate metabolic process
GO:0006532	aspartate biosynthetic process
GO:0006534	cysteine metabolic process
GO:0006535	cysteine biosynthetic process from serine
GO:0006536	glutamate metabolic process
GO:0006537	glutamate biosynthetic process
GO:0006538	glutamate catabolic process
GO:0006541	glutamine metabolic process
GO:0006542	glutamine biosynthetic process
GO:0006543	glutamine catabolic process
GO:0006544	glycine metabolic process
GO:0006545	glycine biosynthetic process
GO:0006546	glycine catabolic process
GO:0006552	leucine catabolic process
GO:0006554	lysine catabolic process
GO:0006555	methionine metabolic process
GO:0006556	S-adenosylmethionine biosynthetic process
GO:0006557	S-adenosylmethioninamine biosynthetic process
GO:0006558	L-phenylalanine metabolic process
GO:0006559	L-phenylalanine catabolic process
GO:0006560	proline metabolic process
GO:0006561	proline biosynthetic process
GO:0006563	L-serine metabolic process
GO:0006564	L-serine biosynthetic process
GO:0006565	L-serine catabolic process
GO:0006566	threonine metabolic process
GO:0006567	threonine catabolic process
GO:0006568	tryptophan metabolic process
GO:0006569	tryptophan catabolic process
GO:0006571	tyrosine biosynthetic process
GO:0006573	valine metabolic process
GO:0006591	ornithine metabolic process
GO:0006593	ornithine catabolic process
GO:0006596	polyamine biosynthetic process
GO:0006598	polyamine catabolic process
GO:0006601	creatine biosynthetic process
GO:0006629	lipid metabolic process
GO:0006631	fatty acid metabolic process
GO:0006633	fatty acid biosynthetic process
GO:0006635	fatty acid beta-oxidation
GO:0006637	acyl-CoA metabolic process
GO:0006646	phosphatidylethanolamine biosynthetic process
GO:0006650	glycerophospholipid metabolic process
GO:0006654	phosphatidic acid biosynthetic process
GO:0006655	phosphatidylglycerol biosynthetic process
GO:0006662	glycerol ether metabolic process
GO:0006665	sphingolipid metabolic process
GO:0006694	steroid biosynthetic process
GO:0006696	ergosterol biosynthetic process
GO:0006707	cholesterol catabolic process
GO:0006725	cellular aromatic compound metabolic process
GO:0006729	tetrahydrobiopterin biosynthetic process
GO:0006730	one-carbon metabolic process
GO:0006734	NADH metabolic process
GO:0006739	NADP metabolic process
GO:0006740	NADPH regeneration
GO:0006741	NADP biosynthetic process
GO:0006742	NADP catabolic process
GO:0006744	ubiquinone biosynthetic process
GO:0006747	FAD biosynthetic process
GO:0006749	glutathione metabolic process
GO:0006750	glutathione biosynthetic process
GO:0006751	glutathione catabolic process
GO:0006753	nucleoside phosphate metabolic process
GO:0006754	ATP biosynthetic process
GO:0006757	ATP generation from ADP
GO:0006760	folic acid-containing compound metabolic process
GO:0006761	dihydrofolate biosynthetic process
GO:0006768	biotin metabolic process
GO:0006772	thiamine metabolic process
GO:0006776	vitamin A metabolic process
GO:0006777	Mo-molybdopterin cofactor biosynthetic process
GO:0006779	porphyrin-containing compound biosynthetic process
GO:0006780	uroporphyrinogen III biosynthetic process
GO:0006782	protoporphyrinogen IX biosynthetic process
GO:0006783	heme biosynthetic process
GO:0006784	heme a biosynthetic process
GO:0006790	sulfur compound metabolic process
GO:0006791	sulfur utilization
GO:0006793	phosphorus metabolic process
GO:0006796	phosphate-containing compound metabolic process
GO:0006798	polyphosphate catabolic process
GO:0006799	polyphosphate biosynthetic process
GO:0006801	superoxide metabolic process
GO:0006805	xenobiotic metabolic process
GO:0006807	nitrogen compound metabolic process
GO:0006808	regulation of nitrogen utilization
GO:0006809	nitric oxide biosynthetic process
GO:0006810	transport
GO:0006811	ion transport
GO:0006812	cation transport
GO:0006813	potassium ion transport
GO:0006814	sodium ion transport
GO:0006817	phosphate ion transport
GO:0006820	anion transport
GO:0006821	chloride transport
GO:0006824	cobalt ion transport
GO:0006825	copper ion transport
GO:0006826	iron ion transport
GO:0006828	manganese ion transport
GO:0006829	zinc ion transport
GO:0006833	water transport
GO:0006835	dicarboxylic acid transport
GO:0006847	plasma membrane acetate transport
GO:0006849	plasma membrane pyruvate transport
GO:0006855	drug transmembrane transport
GO:0006857	oligopeptide transport
GO:0006863	purine nucleobase transport
GO:0006864	pyrimidine nucleotide transport
GO:0006865	amino acid transport
GO:0006868	glutamine transport
GO:0006869	lipid transport
GO:0006876	cellular cadmium ion homeostasis
GO:0006878	cellular copper ion homeostasis
GO:0006879	cellular iron ion homeostasis
GO:0006880	intracellular sequestering of iron ion
GO:0006882	cellular zinc ion homeostasis
GO:0006883	cellular sodium ion homeostasis
GO:0006885	regulation of pH
GO:0006928	movement of cell or subcellular component
GO:0006935	chemotaxis
GO:0006941	striated muscle contraction
GO:0006950	response to stress
GO:0006959	humoral immune response
GO:0006970	response to osmotic stress
GO:0006972	hyperosmotic response
GO:0006974	cellular response to DNA damage stimulus
GO:0006979	response to oxidative stress
GO:0006986	response to unfolded protein
GO:0006995	cellular response to nitrogen starvation
GO:0007040	lysosome organization
GO:0007049	cell cycle
GO:0007059	chromosome segregation
GO:0007155	cell adhesion
GO:0007165	signal transduction
GO:0007231	osmosensory signaling pathway
GO:0007265	Ras protein signal transduction
GO:0007399	nervous system development
GO:0007417	central nervous system development
GO:0007422	peripheral nervous system development
GO:0007588	excretion
GO:0007599	hemostasis
GO:0007601	visual perception
GO:0007605	sensory perception of sound
GO:0008022	protein C-terminus binding
GO:0008026	ATP-dependent helicase activity
GO:0008033	tRNA processing
GO:0008047	enzyme activator activity
GO:0008061	chitin binding
GO:0008073	ornithine decarboxylase inhibitor activity
GO:0008080	N-acetyltransferase activity
GO:0008081	phosphoric diester hydrolase activity
GO:0008083	growth factor activity
GO:0008094	DNA-dependent ATPase activity
GO:0008097	5S rRNA binding
GO:0008106	alcohol dehydrogenase (NADP+) activity
GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0008111	alpha-methylacyl-CoA racemase activity
GO:0008113	peptide-methionine (S)-S-oxide reductase activity
GO:0008115	sarcosine oxidase activity
GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity
GO:0008126	acetylesterase activity
GO:0008127	quercetin 2,3-dioxygenase activity
GO:0008131	primary amine oxidase activity
GO:0008134	transcription factor binding
GO:0008137	NADH dehydrogenase (ubiquinone) activity
GO:0008138	protein tyrosine/serine/threonine phosphatase activity
GO:0008144	drug binding
GO:0008150	biological_process
GO:0008152	metabolic process
GO:0008153	para-aminobenzoic acid biosynthetic process
GO:0008168	methyltransferase activity
GO:0008170	N-methyltransferase activity
GO:0008173	RNA methyltransferase activity
GO:0008175	tRNA methyltransferase activity
GO:0008176	tRNA (guanine-N7-)-methyltransferase activity
GO:0008177	succinate dehydrogenase (ubiquinone) activity
GO:0008184	glycogen phosphorylase activity
GO:0008195	phosphatidate phosphatase activity
GO:0008198	ferrous iron binding
GO:0008199	ferric iron binding
GO:0008202	steroid metabolic process
GO:0008203	cholesterol metabolic process
GO:0008216	spermidine metabolic process
GO:0008233	peptidase activity
GO:0008234	cysteine-type peptidase activity
GO:0008235	metalloexopeptidase activity
GO:0008236	serine-type peptidase activity
GO:0008237	metallopeptidase activity
GO:0008251	tRNA-specific adenosine deaminase activity
GO:0008252	nucleotidase activity
GO:0008253	5'-nucleotidase activity
GO:0008254	3'-nucleotidase activity
GO:0008260	3-oxoacid CoA-transferase activity
GO:0008263	pyrimidine-specific mismatch base pair DNA N-glycosylase activity
GO:0008270	zinc ion binding
GO:0008271	secondary active sulfate transmembrane transporter activity
GO:0008272	sulfate transport
GO:0008276	protein methyltransferase activity
GO:0008289	lipid binding
GO:0008295	spermidine biosynthetic process
GO:0008296	3'-5'-exodeoxyribonuclease activity
GO:0008299	isoprenoid biosynthetic process
GO:0008301	DNA binding, bending
GO:0008310	single-stranded DNA 3'-5' exodeoxyribonuclease activity
GO:0008312	7S RNA binding
GO:0008320	protein transmembrane transporter activity
GO:0008324	cation transmembrane transporter activity
GO:0008360	regulation of cell shape
GO:0008374	O-acyltransferase activity
GO:0008375	acetylglucosaminyltransferase activity
GO:0008379	thioredoxin peroxidase activity
GO:0008381	mechanosensitive ion channel activity
GO:0008408	3'-5' exonuclease activity
GO:0008409	5'-3' exonuclease activity
GO:0008410	CoA-transferase activity
GO:0008412	4-hydroxybenzoate octaprenyltransferase activity
GO:0008413	8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity
GO:0008417	fucosyltransferase activity
GO:0008422	beta-glucosidase activity
GO:0008425	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0008428	ribonuclease inhibitor activity
GO:0008430	selenium binding
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity
GO:0008442	3-hydroxyisobutyrate dehydrogenase activity
GO:0008443	phosphofructokinase activity
GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
GO:0008446	GDP-mannose 4,6-dehydratase activity
GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity
GO:0008452	RNA ligase activity
GO:0008460	dTDP-glucose 4,6-dehydratase activity
GO:0008470	isovaleryl-CoA dehydrogenase activity
GO:0008473	ornithine cyclodeaminase activity
GO:0008477	purine nucleosidase activity
GO:0008478	pyridoxal kinase activity
GO:0008479	queuine tRNA-ribosyltransferase activity
GO:0008483	transaminase activity
GO:0008484	sulfuric ester hydrolase activity
GO:0008490	arsenite secondary active transmembrane transporter activity
GO:0008495	protoheme IX farnesyltransferase activity
GO:0008509	anion transmembrane transporter activity
GO:0008519	ammonium transmembrane transporter activity
GO:0008531	riboflavin kinase activity
GO:0008534	oxidized purine nucleobase lesion DNA N-glycosylase activity
GO:0008544	epidermis development
GO:0008551	cadmium-exporting ATPase activity
GO:0008556	potassium-transporting ATPase activity
GO:0008559	xenobiotic transmembrane transporting ATPase activity
GO:0008565	protein transporter activity
GO:0008610	lipid biosynthetic process
GO:0008615	pyridoxine biosynthetic process
GO:0008616	queuosine biosynthetic process
GO:0008641	ubiquitin-like modifier activating enzyme activity
GO:0008643	carbohydrate transport
GO:0008645	hexose transmembrane transport
GO:0008649	rRNA methyltransferase activity
GO:0008650	rRNA (uridine-2'-O-)-methyltransferase activity
GO:0008652	cellular amino acid biosynthetic process
GO:0008654	phospholipid biosynthetic process
GO:0008655	pyrimidine-containing compound salvage
GO:0008658	penicillin binding
GO:0008659	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity
GO:0008661	1-deoxy-D-xylulose-5-phosphate synthase activity
GO:0008662	1-phosphofructokinase activity
GO:0008663	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity
GO:0008664	2'-5'-RNA ligase activity
GO:0008666	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity
GO:0008667	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity
GO:0008668	(2,3-dihydroxybenzoyl)adenylate synthase activity
GO:0008670	2,4-dienoyl-CoA reductase (NADPH) activity
GO:0008671	2-dehydro-3-deoxygalactonokinase activity
GO:0008672	2-dehydro-3-deoxyglucarate aldolase activity
GO:0008673	2-dehydro-3-deoxygluconokinase activity
GO:0008674	2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity
GO:0008675	2-dehydro-3-deoxy-phosphogluconate aldolase activity
GO:0008676	3-deoxy-8-phosphooctulonate synthase activity
GO:0008677	2-dehydropantoate 2-reductase activity
GO:0008678	2-deoxy-D-gluconate 3-dehydrogenase activity
GO:0008679	2-hydroxy-3-oxopropionate reductase activity
GO:0008681	2-octaprenyl-6-methoxyphenol hydroxylase activity
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity
GO:0008684	2-oxopent-4-enoate hydratase activity
