engelman_met_id,PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID_UPDATED,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,KEGG,HMDB
met53230,1488,3-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",53230,LC/MS Neg,100006367,1725,131.0714,10191-24-9,151492,,
met39600,3594,3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,39600,LC/MS Neg,100002122,1687,194.0459,1637-75-8,450268,,HMDB06116
met1549,312,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1549,LC/MS Polar,111,1619,103.0401,2068-83-9,87,C06001,HMDB00336
met32457,1493,3-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",32457,LC/MS Neg,100001112,5175,215.1653,53941-38-1,94216,,HMDB00387
met22001,1489,3-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",22001,LC/MS Neg,100000773,3446,159.1027,88930-08-9,26613,,HMDB01954
met61843,1491,3-hydroxyoleate*,Lipid,"Fatty Acid, Monohydroxy",61843,LC/MS Neg,100019966,5508,297.2435,,,,
met48448,4701,3-hydroxypyridine sulfate,Xenobiotics,Chemical,48448,LC/MS Neg,100006098,1595.5,173.9867,1955-23-3,,,
met43496,4307,3-hydroxyquinine,Xenobiotics,Drug - Antibiotic,43496,LC/MS Pos Early,100002410,3271,341.186,78549-61-8,441264,C07344,HMDB01091
met31943,1492,3-hydroxysebacate,Lipid,"Fatty Acid, Monohydroxy",31943,LC/MS Neg,100001145,1282,217.1081,73141-46-5,3017884,,HMDB00350
met62062,4011,3-hydroxystachydrine*,Xenobiotics,Food Component/Plant,62062,LC/MS Pos Early,100020203,1049,160.0968,,442640,,
met57781,4431,3-hydroxyvalproate,Xenobiotics,Drug - Neurological,57781,LC/MS Neg,100015977,2912,159.1027,58888-84-9,134459,C16651,HMDB13899
met27672,247,3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism,27672,LC/MS Neg,100000467,2222.2,212.0023,2642-37-7,10258,,HMDB00682
met48763,3647,3-methoxycatechol sulfate (1),Xenobiotics,Benzoate Metabolism,48763,LC/MS Neg,100006375,2163,218.9969,,,,
met44618,161,3-methoxytyramine sulfate,Amino Acid,Tyrosine Metabolism,44618,LC/MS Neg,100004634,1722,246.0442,,,,
met12017,159,3-methoxytyrosine,Amino Acid,Tyrosine Metabolism,12017,LC/MS Pos Early,1342,2555,212.0917,300-48-1,1670,,HMDB01434
met46165,3622,3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism,46165,LC/MS Neg,100004112,2790,203.002,,,,
met44526,307,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",44526,LC/MS Neg,100000936,1465,115.0401,3715-29-5,49,C00141,HMDB00019
met15676,287,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15676,LC/MS Neg,100000036,2064.2,129.0557,1460-34-0;51829-07-3,47,C00671,HMDB03736
met35132,3433,3-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",35132,LC/MS Pos Early,100001466,2176,258.1085,21028-20-6,159649,,
met57747,271,3-methylglutaconate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57747,LC/MS Polar,100002458,2700,99.0452,5746-90-7,1551553,,HMDB00522
met46548,275,3-methylglutarylcarnitine (2),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",46548,LC/MS Pos Early,100005850,2675,290.1598,,128145,,HMDB00552
met15677,66,3-methylhistidine,Amino Acid,Histidine Metabolism,15677,LC/MS Neg,100000042,906.3,168.0779,368-16-1,64969,C01152,HMDB00479
met32445,3685,3-methylxanthine,Xenobiotics,Xanthine Metabolism,32445,LC/MS Neg,100001108,1700,165.0418,1076-22-8,70639,C16357,HMDB01886
met15749,3672,3-phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,15749,LC/MS Neg,100000010,2860,149.0608,501-52-0,107,C05629,HMDB00764
met3155,3420,3-ureidopropionate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3155,LC/MS Polar,1053,2230,131.0462,462-88-4,111,C02642,HMDB00026
met43507,2738,3b-hydroxy-5-cholenoic acid,Lipid,Secondary Bile Acid Metabolism,43507,LC/MS Neg,100004182,5205,373.2748,5255-17-4,92997,,HMDB00308
met54805,2508,3beta-hydroxy-5-cholestenoate,Lipid,Sterol,54805,LC/MS Neg,100006370,5398,415.3218,6561-58-6,165511,C17333,
met1558,410,4-acetamidobutanoate,Amino Acid,Polyamine Metabolism,1558,LC/MS Pos Early,1113,1350,146.0812,3025-96-5,18189,C02946,HMDB03681
met12032,4196,4-acetamidophenol,Xenobiotics,"Drug - Analgesics, Anesthetics",12032,LC/MS Neg,1383,2173.7,150.0561,103-90-2,1983,C06804,HMDB01859
met15736,4199,4-acetamidophenylglucuronide,Xenobiotics,"Drug - Analgesics, Anesthetics",15736,LC/MS Neg,100000043,1400,326.0881,120595-80-4,83944,,HMDB10316
met37475,4198,4-acetaminophen sulfate,Xenobiotics,"Drug - Analgesics, Anesthetics",37475,LC/MS Neg,2049,1792,230.0129,10066-90-7;32113-41-0,83939,C06804,HMDB59911
met44620,4528,4-acetylphenol sulfate,Xenobiotics,Drug - Other,44620,LC/MS Neg,100000711,2375,215.002,,4684006,,
met37181,4033,4-allylphenol sulfate,Xenobiotics,Food Component/Plant,37181,LC/MS Neg,100001868,3805,213.0227,,,,
met54809,4209,4-aminophenol sulfate (2),Xenobiotics,"Drug - Analgesics, Anesthetics",54809,LC/MS Neg,100010871,1168,188.0023,,,,
met38125,2518,4-cholesten-3-one,Lipid,Sterol,38125,LC/MS Pos Late,100002227,2520,385.3465,601-57-0,91477,C00599,HMDB00921
met36099,3634,4-ethylphenylsulfate,Xenobiotics,Benzoate Metabolism,36099,LC/MS Neg,100001756,3580,201.0227,123-07-9,,C13637,
met15681,414,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,15681,LC/MS Pos Early,100000096,2320,146.0924,463-003;463-00-3,500,C01035,HMDB03464
met40062,1289,4-hydroxy-2-oxoglutaric acid,Lipid,"Fatty Acid, Dicarboxylate",40062,LC/MS Polar,100002537,3073,161.0092,1187-99-1,599,C01127,HMDB02070
met48441,4695,4-hydroxychlorothalonil,Xenobiotics,Chemical,48441,LC/MS Neg,100006082,4427,244.9082,28343-61-5,34217,,
met37445,4365,4-hydroxycoumarin,Xenobiotics,Drug - Cardiovascular,37445,LC/MS Neg,100002049,2470,161.0244,1076-38-6,54682930,C20414,
met35527,3595,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,35527,LC/MS Neg,100001423,1475,194.0459,2482-25-9,151012,,HMDB13678
met541,125,4-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,541,LC/MS Neg,144,1361,151.0401,156-38-7,127,C00642,HMDB00020
met55017,879,4-hydroxyphenylacetylglutamine,Peptide,Acetylated Peptides,55017,LC/MS Neg,100010850,1650,279.0986,,,,
met1669,139,4-hydroxyphenylpyruvate,Amino Acid,Tyrosine Metabolism,1669,LC/MS Neg,1141,1690,179.035,156-39-8,979,C01179,HMDB00707
met22116,253,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22116,LC/MS Neg,100000551,2170,129.0557,816-66-0,70,C00233,HMDB00695
met43592,4692,4-methylbenzenesulfonate,Xenobiotics,Chemical,43592,LC/MS Neg,100002390,2350,171.0121,104-15-4,6101,C06677,
met46146,3624,4-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,46146,LC/MS Neg,100004111,2665,203.002,,,,
met48442,4061,4-vinylguaiacol sulfate,Xenobiotics,Food Component/Plant,48442,LC/MS Neg,100006126,3354,229.0176,,,,
met36098,3635,4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism,36098,LC/MS Neg,100001755,3320,199.0071,2628-17-3,6426766,C05627,HMDB04072
met1418,3453,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",1418,LC/MS Neg,158,1637.8,127.0513,696-04-8,93556,C00906,HMDB00079
met1559,3413,"5,6-dihydrouracil",Nucleotide,"Pyrimidine Metabolism, Uracil containing",1559,LC/MS Neg,1125,1120,113.0357,504-07-4,649,C00429,HMDB00076
met61833,3404,"5,6-dihydrouridine",Nucleotide,"Pyrimidine Metabolism, Uracil containing",61833,LC/MS Neg,100001425,1119,245.0779,1361384,94312,,
met43582,99,5-(galactosylhydroxy)-L-lysine,Amino Acid,Lysine Metabolism,43582,LC/MS Pos Early,100002462,2755,325.1606,32448-36-5,,,
met34424,3687,5-acetylamino-6-amino-3-methyluracil,Xenobiotics,Xanthine Metabolism,34424,LC/MS Polar,100001403,1710,197.068,1196153-01-1,88299,C16366,HMDB04400
met34401,3688,5-acetylamino-6-formylamino-3-methyluracil,Xenobiotics,Xanthine Metabolism,34401,LC/MS Polar,100001402,1424,225.0629,85438-96-6,108214,C16365,HMDB11105
met53242,249,5-bromotryptophan,Amino Acid,Tryptophan Metabolism,53242,LC/MS Neg,100009338,3525,280.9931,,96735,,
met33968,1152,5-dodecenoate (12:1n7),Lipid,Medium Chain Fatty Acid,33968,LC/MS Neg,100001232,5224,197.1547,2430-94-6,5312378,,HMDB00529
met61769,1405,5-dodecenoylcarnitine (C12:1),Lipid,Fatty Acid Metabolism(Acyl Carnitine),61769,LC/MS Pos Late,100016069,1135,342.2639,,,,
met31938,1498,5-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",31938,LC/MS Neg,100001148,1267,131.0714,44843-89-2,170748,,HMDB00525
met52914,245,5-hydroxyindole sulfate,Amino Acid,Tryptophan Metabolism,52914,LC/MS Neg,100009042,1928,212.0023,,,,
met15685,98,5-hydroxylysine,Amino Acid,Lysine Metabolism,15685,LC/MS Pos Early,100000054,2790,163.1077,13204-98-3,1029,C16741,HMDB00450
met1419,405,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,1419,LC/MS Pos Early,212,2752,298.0968,2457-80-9,439176,C00170,HMDB01173
met35136,3406,5-methyluridine (ribothymidine),Nucleotide,"Pyrimidine Metabolism, Uracil containing",35136,LC/MS Neg,100001446,1778.1,257.0779,1463-10-1,445408,,HMDB00884
met1494,426,5-oxoproline,Amino Acid,Glutathione Metabolism,1494,LC/MS Neg,1021,738.5,128.0353,98-79-3,7405,C01879,HMDB00267
met37183,2627,"5alpha-androstan-3alpha,17alpha-diol monosulfate",Lipid,Androgenic Steroids,37183,LC/MS Neg,100002008,5208,371.1898,,,,
met47132,2649,"5alpha-androstan-3alpha,17beta-diol 17-glucuronide",Lipid,Androgenic Steroids,47132,LC/MS Neg,100005396,4930,467.265,,,,
met37184,2648,"5alpha-androstan-3alpha,17beta-diol disulfate",Lipid,Androgenic Steroids,37184,LC/MS Neg,100002017,4275,225.0697,,,,
met37186,2646,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",Lipid,Androgenic Steroids,37186,LC/MS Neg,100002018,4925,371.1898,,,,
met37185,2647,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",Lipid,Androgenic Steroids,37185,LC/MS Neg,100006005,5080,371.1898,,,,
met37187,2657,"5alpha-androstan-3beta,17alpha-diol disulfate",Lipid,Androgenic Steroids,37187,LC/MS Neg,100002021,4215,225.0697,,,,
met37190,2654,"5alpha-androstan-3beta,17beta-diol disulfate",Lipid,Androgenic Steroids,37190,LC/MS Neg,100001987,3880,225.0697,571-20-0,242332,C12525,HMDB00493
met37192,2653,"5alpha-androstan-3beta,17beta-diol monosulfate (2)",Lipid,Androgenic Steroids,37192,LC/MS Neg,100002024,4685,371.1898,,,,
met46172,2573,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",Lipid,Progestin Steroids,46172,LC/MS Neg,100002015,4310,239.0853,,5127902,,
met37198,2572,"5alpha-pregnan-3beta,20alpha-diol disulfate",Lipid,Progestin Steroids,37198,LC/MS Neg,100001988,3962,239.0853,,,,
met37200,2567,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",Lipid,Progestin Steroids,37200,LC/MS Neg,100002014,5060,399.2211,,,,
met37196,2564,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",Lipid,Progestin Steroids,37196,LC/MS Neg,100002009,5180,399.2211,,,,
met37480,2563,"5alpha-pregnan-3beta-ol,20-one sulfate",Lipid,Progestin Steroids,37480,LC/MS Neg,100002035,5136,397.2054,7730-00-9,,,
met48698,4712,6-hydroxyindole sulfate,Xenobiotics,Chemical,48698,LC/MS Neg,100006260,2498,212.0023,,,,
met43231,110,6-oxopiperidine-2-carboxylate,Amino Acid,Lysine Metabolism,43231,LC/MS Neg,100004499,965,142.051,34622-39-4,3014237,,HMDB61705
met36776,2505,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),Lipid,Sterol,36776,LC/MS Neg,100001609,5288.1,429.301,115538-85-7,3081085,C17337,HMDB12458
met31904,2736,7-ketodeoxycholate,Lipid,Secondary Bile Acid Metabolism,31904,LC/MS Neg,100001063,4821,405.2646,911-40-0,188292,,HMDB00391
met35114,3370,7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",35114,LC/MS Pos Early,100001456,2175,166.0723,578-76-7,11361,C02242,HMDB00897
met39598,3679,7-methylurate,Xenobiotics,Xanthine Metabolism,39598,LC/MS Pos Early,100002241,1321,183.0513,612-37-3,69160,C16355,HMDB11107
met34390,3686,7-methylxanthine,Xenobiotics,Xanthine Metabolism,34390,LC/MS Pos Early,100001396,1350,167.0564,552-62-5,68374,C16353,HMDB01991
met38399,1534,"9,10-DiHOME",Lipid,"Fatty Acid, Dihydroxy",38399,LC/MS Neg,179,5180,313.2384,263399-34-4,9966640,C14828,HMDB04704
met47120,1525,9-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",47120,LC/MS Neg,100005834,5384,299.2592,25498-28-6,9570127,,HMDB61661
met48569,3992,acesulfame,Xenobiotics,Food Component/Plant,48569,LC/MS Neg,100006203,1581,161.9867,55589-62-3,36573,,HMDB33585
met33963,1455,acetoacetate,Lipid,Ketone Bodies,33963,LC/MS Pos Early,1218,1062,103.039,578486,96,C00164,HMDB00060
met32198,1395,acetylcarnitine (C2),Lipid,Fatty Acid Metabolism(Acyl Carnitine),32198,LC/MS Pos Early,100000802,2282,204.123,5080-50-2,1,C02571,HMDB00201
met37493,4223,acetylsalicylate,Xenobiotics,"Drug - Analgesics, Anesthetics",37493,LC/MS Pos Early,100001953,2790,121.0284,50-78-2,2244,"D00109,C01405",HMDB01879
met43258,401,acisoga,Amino Acid,Polyamine Metabolism,43258,LC/MS Neg,100004541,2297,183.1139,106692-36-8,129397,,
met46173,1103,aconitate [cis or trans],Energy,TCA Cycle,46173,LC/MS Neg,100001359,580,173.0092,,,,
met554,3335,adenine,Nucleotide,"Purine Metabolism, Adenine containing",554,LC/MS Pos Early,880,2221,136.0618,73-24-5,190,C00147,HMDB00034
met555,3334,adenosine,Nucleotide,"Purine Metabolism, Adenine containing",555,LC/MS Neg,798,2075.4,134.0472,58-61-7,60961,C00212,HMDB00050
met32342,3327,adenosine 5'-monophosphate (AMP),Nucleotide,"Purine Metabolism, Adenine containing",32342,LC/MS Pos Early,209,1013,348.0704,149022-20-8,6083,C00020,HMDB00045
met52988,1421,adipoylcarnitine (C6-DC),Lipid,Fatty Acid Metabolism(Acyl Carnitine),52988,LC/MS Pos Early,100006614,2558,290.1598,,71296139,,HMDB61677
met32980,1211,adrenate (22:4n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),32980,LC/MS Neg,100001193,5678,331.2643,2091-25-0,5497181,C16527,HMDB02226
met57528,1430,adrenoylcarnitine (C22:4)*,Lipid,Fatty Acid Metabolism(Acyl Carnitine),57528,LC/MS Pos Late,100015850,1415,476.3734,,,,
met1126,28,alanine,Amino Acid,Alanine and Aspartate Metabolism,1126,LC/MS Pos Early,811,1700,90.055,56-41-7,5950,C00041,HMDB00161
met1107,3321,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1107,LC/MS Polar,1002,1672,157.0367,97-59-6,204,C02350,HMDB00462
met41494,3827,alliin,Xenobiotics,Food Component/Plant,41494,LC/MS Pos Early,100003473,1470,178.0532,556-27-4,87310,C08265,HMDB33592
met43534,4421,allopurinol,Xenobiotics,Drug - Metabolic,43534,LC/MS Neg,100004518,1530,135.0312,315-30-0,2094,,
met38321,4422,allopurinol riboside,Xenobiotics,Drug - Metabolic,38321,LC/MS Neg,100002454,1660,267.0735,16220-07-8,,,
met48188,3522,alpha-CEHC,Cofactors and Vitamins,Tocopherol Metabolism,48188,LC/MS Neg,100002206,4045,277.1445,4072-32-6,9943542,,HMDB01518
met39346,3520,alpha-CEHC glucuronide*,Cofactors and Vitamins,Tocopherol Metabolism,39346,LC/MS Neg,100003101,2616,453.1766,477200-36-5,,,
met47666,3521,alpha-CEHC sulfate,Cofactors and Vitamins,Tocopherol Metabolism,47666,LC/MS Neg,100005972,3090,357.1013,,,,
met22132,256,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22132,LC/MS Neg,100000706,1840,131.0714,10303-64-7,83697,C03264,HMDB00746
met33937,288,alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",33937,LC/MS Neg,100001300,1126,117.0557,600-37-3,99823,,HMDB00407
met54738,4355,alpha-hydroxymetoprolol,Xenobiotics,Drug - Cardiovascular,54738,LC/MS Pos Early,100006385,2900,284.1856,56392-16-6,114962,,HMDB60994
met4968,333,alpha-ketobutyrate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",4968,LC/MS Polar,796,940,101.0244,600-18-0,58,C00109,HMDB00005
met62101,43,alpha-ketoglutaramate**,Amino Acid,Glutamate Metabolism,62101,LC/MS Polar,100002397,1916,144.0302,18465-19-5,,,
met528,1107,alpha-ketoglutarate,Energy,TCA Cycle,528,LC/MS Polar,93,2700,145.0143,305-72-6;328-50-7;22202-68-2,51,C00026,HMDB00208
met1561,3510,alpha-tocopherol,Cofactors and Vitamins,Tocopherol Metabolism,1561,LC/MS Pos Late,1105,2522,430.3782,59-02-9;10191-41-0,14985,C02477,HMDB01893
met52948,4275,amoxicillin,Xenobiotics,Drug - Antibiotic,52948,LC/MS Neg,100008962,2365,364.0973,26787-78-0,2171,C06827,HMDB15193
met32827,2661,andro steroid monosulfate C19H28O6S (1)*,Lipid,Androgenic Steroids,32827,LC/MS Neg,100002152,3871,383.1534,,,C04555,HMDB02759
met37207,2636,"androstenediol (3alpha, 17alpha) monosulfate (2)",Lipid,Androgenic Steroids,37207,LC/MS Neg,100002026,4712,369.1741,,,,
met37209,2637,"androstenediol (3alpha, 17alpha) monosulfate (3)",Lipid,Androgenic Steroids,37209,LC/MS Neg,100002027,5180,369.1741,,,,
met37202,2632,"androstenediol (3beta,17beta) disulfate (1)",Lipid,Androgenic Steroids,37202,LC/MS Neg,100001992,3740,224.0618,,87120982,C04295,HMDB03818
met37203,2633,"androstenediol (3beta,17beta) disulfate (2)",Lipid,Androgenic Steroids,37203,LC/MS Neg,100001994,4065,224.0624,,87120982,C04295,HMDB03818
met37211,2629,"androstenediol (3beta,17beta) monosulfate (1)",Lipid,Androgenic Steroids,37211,LC/MS Neg,100002028,4535,369.1741,521-17-5,13847309,,HMDB03818
met37210,2630,"androstenediol (3beta,17beta) monosulfate (2)",Lipid,Androgenic Steroids,37210,LC/MS Neg,100002029,4500,369.1741,,,,
met61846,2613,androsterone glucuronide,Lipid,Androgenic Steroids,61846,LC/MS Neg,100002761,4953,465.2494,1852-43-3,114833,C11135,HMDB02829
met31591,2623,androsterone sulfate,Lipid,Androgenic Steroids,31591,LC/MS Neg,100001073,5022,369.1741,2479-86-9,159663,,HMDB02759
met57746,221,anthranilate,Amino Acid,Tryptophan Metabolism,57746,LC/MS Pos Early,1258,2606,120.0444,118-92-3,227,C00108,HMDB01123
met575,950,arabinose,Carbohydrate,Pentose Metabolism,575,LC/MS Polar,828,1804.5,195.051,28697-53-2,66308,C00216,HMDB00646
met48885,965,arabitol/xylitol,Carbohydrate,Pentose Metabolism,48885,LC/MS Polar,100006430,1932.4,151.0612,,6912,C01904,
met48255,967,arabonate/xylonate,Carbohydrate,Pentose Metabolism,48255,LC/MS Polar,100006115,2700,165.0405,,,,
met1118,1178,arachidate (20:0),Lipid,Long Chain Fatty Acid,1118,LC/MS Neg,893,6240,311.2956,506-30-9,10467,C06425,HMDB02212
met1110,1210,arachidonate (20:4n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),1110,LC/MS Neg,229,5535,303.233,506-32-1,444899,C00219,HMDB01043
met57518,1429,arachidonoylcarnitine (C20:4),Lipid,Fatty Acid Metabolism(Acyl Carnitine),57518,LC/MS Pos Late,100015837,1353,448.3422,,,,
met53261,1468,arachidonoylcholine,Lipid,Fatty Acid Metabolism (Acyl Choline),53261,LC/MS Pos Late,100009332,1390,390.3367,,,,
met57513,1428,arachidoylcarnitine (C20)*,Lipid,Fatty Acid Metabolism(Acyl Carnitine),57513,LC/MS Pos Late,100015833,1512,456.4047,,,,HMDB06460
met57461,384,argininate*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,57461,LC/MS Pos Early,100002769,2150,176.103,157-07-3,160437,,HMDB03148
met1638,353,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1638,LC/MS Pos Early,231,2825,175.119,1119-34-2,232,C00062,HMDB00517
met52960,4488,aripiprazole,Xenobiotics,Drug - Psychoactive,52960,LC/MS Pos Late,100008941,1000,448.1553,129722-12-9,60795,"D01164,C12564",HMDB05042
met512,38,asparagine,Amino Acid,Alanine and Aspartate Metabolism,512,LC/MS Pos Early,917,1225,133.0608,70-47-3,6267,C00152,HMDB00168
met443,34,aspartate,Amino Acid,Alanine and Aspartate Metabolism,443,LC/MS Pos Early,234,1165,134.0448,56-84-8,5960,C00049,HMDB00191
met38658,4358,atenolol,Xenobiotics,Drug - Cardiovascular,38658,LC/MS Pos Early,100002726,2668,267.1703,29122-68-7,2249,D00235,HMDB01924
met38619,4407,atorvastatin (lipitor),Xenobiotics,Drug - Metabolic,38619,LC/MS Neg,100002802,5101,557.2457,134523-03-8,60823,D00887,HMDB05006
met47878,4408,atorvastatin lactone,Xenobiotics,Drug - Metabolic,47878,LC/MS Pos Late,100005940,1190,541.2497,125995-03-1,6483036,,
met52966,4271,azithromycin,Xenobiotics,Drug - Antibiotic,52966,LC/MS Pos Late,100008963,918,749.5158,83905-01-5,2269,C06838,HMDB14352
met57646,4450,baclofen,Xenobiotics,Drug - Neurological,57646,LC/MS Pos Early,100015779,3163,214.0629,1134-47-0,2284,D00241,HMDB14327
met57331,2359,behenoyl dihydrosphingomyelin (d18:0/22:0)*,Lipid,Sphingolipid Metabolism,57331,LC/MS Pos Late,100009026,3150,789.6844,,,,HMDB12091
met48492,2362,behenoyl sphingomyelin (d18:1/22:0)*,Lipid,Sphingolipid Metabolism,48492,LC/MS Pos Late,100006294,3083,787.6688,,,,HMDB12103
met57514,1431,behenoylcarnitine (C22)*,Lipid,Fatty Acid Metabolism(Acyl Carnitine),57514,LC/MS Pos Late,100015832,1561,484.436,,,,
met15778,3601,benzoate,Xenobiotics,Benzoate Metabolism,15778,LC/MS Neg,100000008,1750,121.0295,65-85-0,243,C00180,HMDB01870
met39678,4241,benzoylecgonine,Xenobiotics,"Drug - Analgesics, Anesthetics",39678,LC/MS Pos Early,100002928,3061,290.1387,519-09-5,442997,C10847,HMDB41836
met55,3421,beta-alanine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",55,LC/MS Pos Early,244,1905,90.055,56-41-7;107-95-9,239,C00099,HMDB00056
met54923,53,beta-citrylglutamate,Amino Acid,Glutamate Metabolism,54923,LC/MS Neg,100003271,530,320.0623,73590-26-8,72715786,C20775,
met57591,3573,beta-cryptoxanthin,Cofactors and Vitamins,Vitamin A Metabolism,57591,LC/MS Pos Late,100001977,2560,552.4326,472-70-8,6384256,,HMDB33844
met35101,3838,beta-guanidinopropanoate,Xenobiotics,Food Component/Plant,35101,LC/MS Pos Early,100001411,2145,132.0768,353-09-3,67701,C03065,HMDB13222
met12129,268,beta-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",12129,LC/MS Neg,1442,1027,117.0557,625-08-1,69362,,HMDB00754
met3141,6,betaine,Amino Acid,"Glycine, Serine and Threonine Metabolism",3141,LC/MS Pos Early,799,1064,118.0863,107-43-7,247,C00719,HMDB00043
met38100,3815,betonicine,Xenobiotics,Food Component/Plant,38100,LC/MS Pos Early,100002153,1012,160.0968,515-25-3,164642,C08269,HMDB29412
met32586,3548,"bilirubin (E,E)*",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,32586,LC/MS Pos Late,100001950,1045,585.2708,114-25-0,5315454,,
met47886,3549,"bilirubin (E,Z or Z,E)*",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,47886,LC/MS Pos Late,100001951,1265,585.2708,,5799469,,HMDB00488
met43807,3547,"bilirubin (Z,Z)",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,43807,LC/MS Pos Late,1090,1840,585.2708,635-65-4,5280352,C00486,HMDB00054
met2137,3550,biliverdin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,2137,LC/MS Pos Late,250,1016,583.2551,55482-27-4;55482-27-4,5353439,C00500,HMDB01008
met22154,825,bradykinin,Peptide,Polypeptide,22154,LC/MS Pos Late,100000967,792,530.788,58-82-2,439201,C00306,HMDB04246
met34420,827,"bradykinin, des-arg(9)",Peptide,Polypeptide,34420,LC/MS Neg,100001292,4250,902.453,15958-92-6,105044,C00306,HMDB04246
met33962,826,"bradykinin, hydroxy-pro(3)",Peptide,Polypeptide,33962,LC/MS Pos Late,100001237,776,538.7854,37642-65-2,169947,,HMDB11728
met32412,1368,butyrylcarnitine (C4),Lipid,Fatty Acid Metabolism (also BCAA Metabolism),32412,LC/MS Pos Early,100001054,2860,232.1543,25576-40-3,439829,C02862,HMDB02013
met48782,210,C-glycosyltryptophan,Amino Acid,Tryptophan Metabolism,48782,LC/MS Neg,100006379,1777,365.1354,180509-18-6,10981970,,
met53254,3690,caffeic acid sulfate,Xenobiotics,Xanthine Metabolism,53254,LC/MS Polar,100009337,1307,258.9918,,,,HMDB41708
met569,3674,caffeine,Xenobiotics,Xanthine Metabolism,569,LC/MS Pos Early,849,2106,195.0877,58-08-2,2519,C07481,HMDB01847
met1642,1148,caprate (10:0),Lipid,Medium Chain Fatty Acid,1642,LC/MS Neg,888,5090.7,171.1391,112-37-8,2969,C01571,HMDB00511
met32489,1144,caproate (6:0),Lipid,Medium Chain Fatty Acid,32489,LC/MS Neg,926,2713.7,115.0765,142-62-1,8892,C01585,HMDB00535
met32492,1146,caprylate (8:0),Lipid,Medium Chain Fatty Acid,32492,LC/MS Neg,932,4362,143.1078,124-07-2,379,C06423,HMDB00482
met37033,4436,carbamazepine,Xenobiotics,Drug - Neurological,37033,LC/MS Pos Late,100001933,880,237.1022,298-46-4,2554,D00252,HMDB14704
met37020,4437,"carbamazepine 10,11-epoxide*",Xenobiotics,Drug - Neurological,37020,LC/MS Pos Early,100002321,3020,253.0972,36507-30-9,2555,C07496,HMDB60658
met37056,4438,carbamazepine glucuronide*,Xenobiotics,Drug - Neurological,37056,LC/MS Neg,100002322,3884,411.1198,,,,
met40007,55,carboxyethyl-GABA,Amino Acid,Glutamate Metabolism,40007,LC/MS Pos Early,100003260,2085,176.0917,908055,2572,,HMDB02201
